代號,名稱,Year,Industry,Key,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,NI,Price,BVLAG,MV,BV,ADJEBEI,RD,ADV,CAPEX
1210,大成,2020,M1200,12102020,0,0,0,0,0,827339,27886752,4117566,49.97,24324519,1.69960729,1.146446185,0.400725005,0.006953067,0.22449558,0.216512565
1210,大成,2019,M1200,12102019,0,0,0,0,0,827339,24324519,3182623,33.87,22222633,1.260965428,1.094583122,0.395268778,0.007470942,0.244582449,0.317165522
1210,大成,2018,M1200,12102018,0,0,0,0,0,787942,22222633,2133268,29.06,21722937,1.054074526,1.023003151,0.357830297,0.002020537,0.25760628,0.188649491
1210,大成,2017,M1200,12102017,0,0,0,0,0,736394,21722937,2728953,26.36,20183014,0.961766456,1.07629797,0.386272833,0.006802255,0.244260198,0.215580141
1213,大飲,2022,M1200,12132022,0,0,0,0,0,56623,365894,-75809,6.45,441715,0.82681899,0.828348596,-0.117661841,0,0.053962397,0.056670025
1213,大飲,2021,M1200,12132021,0,0,0,0,0,56623,441715,-92898,7.53,536146,0.795252021,0.823870737,-0.125986205,0,0.047283762,0.048962409
1213,大飲,2020,M1200,12132020,0,0,0,0,0,56623,536146,-27252,8.88,563407,0.892449402,0.95161402,-0.012433285,0,0.035936721,0.044836149
1213,大飲,2019,M1200,12132019,0,0,0,0,0,56623,563407,-43093,6,606465,0.560193911,0.929001674,-0.031893019,0,0.039163018,0.149110006
6689,伊雲谷,2020,M2331,66892020,1,0.693147181,1,0,0,49224,1619896,164967,#N/A,1527307,#N/A,1.06062239,0.284707004,0.026783744,0.149911576,0.022550803
1213,大飲,2017,M1200,12132017,0,0,0,0,0,56623,696026,1989,14.7,694041,1.199292405,1.002860062,0.06463451,0,0.061768685,0.048507221
1215,卜蜂,2022,M1200,12152022,0,0,0,0,0,294790,9487764,1544863,90.73,8593007,3.11256545,1.104126181,0.313756058,0,0.133974638,0.373493121
1215,卜蜂,2021,M1200,12152021,0,0,0,0,0,267991,8593007,1315857,68.33,8733486,2.096737206,0.9839149,0.272859658,0,0.122191643,0.358261753
1215,卜蜂,2020,M1200,12152020,0,0,0,0,0,267991,8733486,1557466,68.08,8626994,2.114853364,1.012344045,0.29626484,0,0.11573081,0.411065082
1215,卜蜂,2019,M1200,12152019,0,0,0,0,0,267991,8626994,1035296,54.59,7256685,2.016020909,1.18883402,0.28084201,0,0.138174111,0.36092155
1215,卜蜂,2018,M1200,12152018,0,0,0,0,0,267991,7256685,997471,50.06,6957514,1.928221698,1.042999698,0.287769741,0,0.144403734,0.326421046
1215,卜蜂,2017,M1200,12152017,0,0,0,0,0,267991,6957514,1475578,41.28,6608737,1.673945942,1.052775137,0.37766021,0,0.154383356,0.464264957
1216,統一,2022,M1200,12162022,0,0,0,0,0,5682015,192194954,26297163,73.15,180993745,2.296429621,1.061887271,0.785146592,0.005076628,0.634776749,0.298576567
1216,統一,2021,M1200,12162021,0,0,0,0,0,5682015,180993745,27718528,61.7,180598593,1.941212939,1.002188013,0.740745799,0.005163678,0.582100703,0.271931028
1216,統一,2020,M1200,12162020,0,0,0,0,0,5682015,180598593,28898990,64.84,174005305,2.117302416,1.037891305,0.75507549,0.005188807,0.583805597,0.276469749
1216,統一,2019,M1200,12162019,0,0,0,0,0,5682015,174005305,28120518,60.92,170300834,2.032569927,1.021752512,0.770247802,0.005362428,0.599762765,0.269431182
1216,統一,2018,M1200,12162018,0,0,0,0,0,5682015,170300834,26497612,68.48,191300194,2.033998916,0.890228235,0.649676832,0.00495505,0.50620853,0.176620234
1216,統一,2017,M1200,12162017,0,0,0,0,0,5682015,191300194,14788021,59.62,152700266,2.218475077,1.252782323,0.679589307,0.006375307,0.576370548,0.224434226
1217,愛之味,2022,M1200,12172022,0,0,0,0,0,494513,7517472,130615,12.8,7397369,0.855678066,1.016235908,0.145841853,0.006563279,0.12162162,0.025827156
