Code,Key,Industry,YICounts,Year,Equity,Asset,PPE,NI_Ctd,NI_Ctd_1,NI,NI_1,EBITDA,EBITDA_1,OCF,S,AR,Asset_1,S_1,AR_1,S_2,EXP,PROD
1423,14232022,M1400,51,2022,3043922,3320728,327620,73350,153942,63548,143260,94879,203182,315202,175942,7783,3423248,190145,5393,202723,34965,75902
1432,14322022,M3700,23,2022,730572,4897015,619840,-36918,-155804,-40912,-144720,417202,271317,367415,1106827,50153,4892868,778055,42035,1154819,427141,706973
1434,14342022,M1400,51,2022,55767215,75409835,11529353,3404981,2143167,3411166,2148447,5306563,3890335,3624078,34722655,2988967,81342188,32799007,3835997,28783492,2498926,32548769
1436,14362022,M2500,83,2022,3278938,13047975,35265,630641,486380,632920,481287,904956,583156,1633119,3939725,2611,13691109,2579156,1300,1631881,400492,2065913
1437,14372022,M9900,90,2022,7107748,12580598,2720,406767,458278,446263,331228,638699,676885,341291,801868,17484,11947292,698041,15128,605384,69949,199741
1438,14382022,M2500,83,2022,2013934,8275306,17553,373549,30092,367764,30092,440248,35728,46880,595265,12080,5243213,12297,0,98432,31518,367319
1439,14392022,M2500,83,2022,2815004,4822764,167,143592,167450,189995,165477,195363,215839,-619155,570153,26052,4876860,615535,28266,113119,83289,1043975
1440,14402022,M1400,51,2022,27906975,50167210,20577892,1191758,2969297,1256513,3040921,2654844,4660341,2705633,21968232,1444470,50196558,20193510,1840769,17628221,2048133,19831191
1441,14412022,M1400,51,2022,691420,2526097,940694,-319852,-162356,-317224,-123900,-144335,-21338,-297488,1588312,91525,2374065,1546490,100353,1509851,207237,1836205
1442,14422022,M2500,83,2022,6046566,16548990,24073,644460,515152,453105,502052,732173,539804,-1672504,2003352,972141,14090974,3450135,21746,2231333,210507,2630712
1443,14432022,M9900,90,2022,1338127,6505544,4409349,143013,206755,182409,255695,338798,380475,325443,847500,169403,6397558,866817,234126,569401,100240,498042
1444,14442022,M1400,51,2022,12123334,18997324,7135919,468577,652557,441408,270566,1406194,1444255,1429456,12237226,749587,20704529,10878183,1238677,8373609,1011262,11138408
1445,14452022,M1400,51,2022,1633037,2130781,803323,10988,-25193,6892,-31628,28618,11790,138877,1511208,195394,2010401,1254148,233625,917470,152937,1410216
1446,14462022,M1400,51,2022,1440636,4677845,967,-37806,-17164,-36644,-20028,-3652,2482,-348627,155705,12862,4339468,193226,18865,490557,59466,506421
1447,14472022,M1400,51,2022,10296633,19703197,5575680,-17916,275768,-1785,272454,671533,975206,834950,28501393,2531188,19756797,24252436,3001427,13559461,841990,28085351
1449,14492022,M1400,51,2022,1580593,6127627,399247,98636,74238,-83344,-153243,370259,318732,107855,2484187,140444,6356309,2785873,145607,1929151,341188,2059420
1451,14512022,M1400,51,2022,7603071,9165792,1378016,426456,242691,445103,271287,782210,547939,190928,8695169,1677307,9050041,8012461,1739633,7019373,496647,8285655
1452,14522022,M1400,51,2022,2697577,2902664,532853,128244,351579,129916,214218,216553,467084,677389,1818424,239399,3195884,2097672,327858,1271905,115878,1579845
1453,14532022,M2500,83,2022,1387000,1844308,100364,-12289,106030,-31942,-7886,-2521,115456,-25290,248555,0,1893590,44286,0,219411,52041,53678
1454,14542022,M1400,51,2022,1598356,2042138,796175,32191,5133,32926,4443,120972,66658,125307,1796280,144453,2053953,1574819,151366,1204928,161240,1608902
1455,14552022,M1400,51,2022,6589372,9182843,4547680,-281794,920077,-1200,667851,159651,1513684,952388,9301445,824764,10776815,11218513,1607436,7675607,458810,8721296
1456,14562022,M2500,83,2022,1527311,10823448,62054,-75463,454432,-80044,454672,149469,603854,-3677716,617250,44940,7125566,2363236,76193,716457,107267,4202710
1457,14572022,M1400,51,2022,9032065,19939909,3305364,2030138,366132,175890,200077,2492848,696663,-322358,4335382,512003,18519803,4146179,378043,2707215,263704,3733138
1459,14592022,M1400,51,2022,2817443,5444085,2121291,-443367,761472,39539,-47542,-237625,1024179,41639,1957172,137472,6500355,2469456,214507,1783734,148946,1953280
