Key,Year,Trade,Industry,LGTA,RPA,RPA_Ctd,BM,LEV,OCF,MTB,Age,Age_Trade,Big4,GC,ESG,RD,ADV,YICounts
41832020,2020,OTC,M1722,13.21214924,0,0,0.743541149,0.434788014,0.146088451,1.344915478,21,11,1,0,58.87,0.063624638,0.036882483,121
41832019,2019,OTC,M1722,13.18930027,0,0,0.64825584,0.449945194,0.040866868,1.542600835,21,11,1,0,59.63,0.071923996,0.036116566,113
41832018,2018,OTC,M1722,12.95409856,0,0,0.860029306,0.308288666,0.030771597,1.162751075,21,11,1,0,52.83,0.076030197,0.04129478,108
41832017,2017,OTC,M1722,12.89484276,0,0,0.835086242,0.287847173,0.106377102,1.19748111,21,11,1,0,56.61,0.071725275,0.04712613,102
41882020,2020,OTC,M1722,13.39474956,1,1,0.650101835,0.093585075,-0.07622912,1.538220547,15,10,1,0,60.85,0.772931296,0.252342,121
41882022,2022,OTC,M1722,13.22467084,0,1,0.532233414,0.061531573,-0.061735595,1.878874895,15,10,1,0,56.05,0.876212883,0.296689927,126
41882021,2021,OTC,M1722,13.33059956,0,1,0.679982995,0.059637646,-0.063285219,1.470625012,15,10,1,0,60.14,0.593873483,0.181289415,123
41882019,2019,OTC,M1722,13.50667567,0,0,0.406415971,0.131037366,-0.051756634,2.460533225,15,10,1,0,59.02,0.693575625,0.276776156,113
41882018,2018,OTC,M1722,13.56509601,0,0,0.522743177,0.115775911,-0.088583107,1.912985275,15,10,1,0,62.36,0.931916541,0.335757646,108
41882017,2017,OTC,M1722,13.45845125,0,0,0.369347651,0.114688359,-0.069875424,2.707476269,15,10,1,0,62.61,2.05531694,0.670080698,102
41902022,2022,TSE,M1722,15.90108786,0,0,0.440339963,0.732078457,0.092818611,2.270972621,13,8,1,0,54.71,0.012479768,0.507929515,126
41902021,2021,TSE,M1722,15.94844772,0,0,0.562330312,0.729725951,0.116802785,1.778314237,13,8,1,0,51.56,0.010200969,0.462278051,123
41902020,2020,TSE,M1722,15.76570822,0,0,0.488266715,0.705198677,0.128410116,2.048060966,13,8,1,0,50.9,0.01048389,0.472017028,121
41902019,2019,TSE,M1722,15.68267585,0,0,0.458700831,0.68758441,0.120850612,2.180070173,13,8,1,0,53.87,0.008640747,0.438526996,113
41902018,2018,TSE,M1722,15.60706684,0,0,0.315650011,0.689423568,0.071583377,3.168065785,13,8,1,0,54.88,0.009443795,0.41960839,108
41902017,2017,TSE,M1722,15.4410588,0,0,0.226612469,0.711849987,0.082714648,4.412819844,13,8,1,0,49.76,0.015683461,0.464710917,102
41922022,2022,OTC,M1722,12.98688266,0,0,0.033101926,0.429719133,-0.480048002,30.20972254,15,10,0,0,54.9,9.915557798,0.450085126,126
41922021,2021,OTC,M1722,13.62245722,0,0,0.036265911,0.462761299,-0.278808109,27.57410396,15,10,0,0,57.35,60.95518086,0.542441252,123
41922020,2020,OTC,M1722,13.725576,0,0,0.029024664,0.386669015,-0.346430107,34.45345655,15,10,0,0,54.94,27.23560288,0.267396509,121
41922019,2019,OTC,M1722,13.54616075,0,0,0.023448411,0.198782263,-0.547950191,42.64681304,15,10,0,0,51.4,29.31156011,0.329143183,113
41922018,2018,OTC,M1722,13.59835529,0,0,0.082444226,0.121905306,-0.338293127,12.12941219,15,10,0,0,50.81,33.42486374,0.523228627,108
41922017,2017,OTC,M1722,13.64814342,0,0,0.108649196,0.14809981,-0.238759459,9.203933732,15,10,0,0,48.98,27.54530943,0.504297625,102
41982022,2022,OTC,M1722,13.18262652,0,0,0.413757286,0.594356925,-0.137282557,2.416875869,10,10,1,0,52.93,0.08404045,0.179223148,126
41982021,2021,OTC,M1722,12.59172613,0,0,0.049242874,0.679740918,-0.239783758,20.30750683,10,10,1,0,46.94,0.198841068,0.137134871,123
41982020,2020,OTC,M1722,12.57114969,0,0,0.03506204,0.764720174,-0.203467245,28.52087329,10,10,1,0,47.19,0.356843362,0.169434003,121
41982019,2019,OTC,M1722,12.60462055,0,0,0.096299914,0.664497268,-0.300058403,10.38422527,10,10,1,0,48.57,0.189523962,0.236263888,113
41982018,2018,OTC,M1722,13.13083935,0,0,0.235792783,0.522593683,-0.270495542,4.241011906,10,10,1,0,48.95,0.129448227,0.285153556,108
41982017,2017,OTC,M1722,13.57374978,0,0,0.031897306,0.407694933,-0.494298587,31.35060999,10,10,1,0,51.79,0.185372008,0.369322838,102
42052022,2022,OTC,M1200,14.64319562,0,0,0.209593186,0.174120286,0.153937298,4.771147474,43,24,1,0,55.4,0.001430734,0.119224938,29
42052021,2021,OTC,M1200,14.59059296,0,0,0.209866348,0.170003653,0.163443311,4.76493735,43,24,1,0,58.22,0.001469636,0.126293036,28
42052020,2020,OTC,M1200,14.50173886,0,0,0.192325961,0.179641629,0.174010301,5.199506061,43,24,1,0,58.58,0.001655467,0.121066368,28
42052019,2019,OTC,M1200,14.44778184,0,0,0.257906223,0.18609635,0.1529343,3.877378329,43,24,1,0,54.12,0.001933012,0.122487243,28
42052018,2018,OTC,M1200,14.40422291,0,0,0.310342434,0.182611992,0.124996462,3.222247074,43,24,1,0,54.27,0.002361434,0.126259308,27
42052017,2017,OTC,M1200,14.38704758,0,0,0.346597181,0.170811531,0.13763568,2.885193691,43,24,1,0,53.71,0.001184559,0.126564552,28
42072022,2022,OTC,M1200,15.54719831,0,0,1.130039301,0.440031666,0.001141733,0.884924975,39,23,1,0,68,0.001727245,0.02941173,29
42072021,2021,OTC,M1200,15.4826963,0,0,1.504961318,0.448775107,0.084859301,0.664468906,39,23,1,0,64.47,0.001924275,0.032530712,28
42072020,2020,OTC,M1200,15.46205329,0,0,1.598073903,0.476842303,0.10080287,0.625753288,39,23,1,0,61.99,0.002206119,0.030066902,28
42072019,2019,OTC,M1200,15.4338095,0,0,1.909056607,0.455507798,0.041662388,0.523818936,39,23,1,0,59.74,0.001943008,0.031316887,28
42072018,2018,OTC,M1200,15.40424564,0,0,1.826449524,0.466091617,-0.035301937,0.54751034,39,23,1,0,53.17,0.002005784,0.034272503,27
42072017,2017,OTC,M1200,15.32803352,0,0,1.786925591,0.418455605,0.118568162,0.559620392,39,23,1,0,50.4,0.002159046,0.034792371,28
43032022,2022,OTC,M1300,14.18150207,0,0,0.704024621,0.424905839,0.04296217,1.42040487,50,24,1,0,46.38,0.016427805,0.039214663,25
