公司代號,公司名稱,報告書內容涵蓋期間,中文版上傳日期,產業類別,Year,Key,BVE,LNAT,NIS,Industry,Price,RPA,LN_RPA_Count,RPA_Count,KY,Price9m,Price6m,Price12m,Finance
2801,彰銀,107/01/01~107/12/31,108/06/27,,2018,28012018,15.99,21,1.29,M2810,14.57,0,0,0,0,17.99,16.55,18.86,1
2809,京城銀,107/01/01~107/12/31,108/06/24,,2018,28092018,30.56,19,2.5,M2810,25.66,0,0,0,0,25.86,27.1,28.09,1
2812,台中銀,107/01/01~107/12/31,108/06/28,,2018,28122018,13.57,20,1.14,M2810,8.01,0,0,0,0,8.97,8.78,9.08,1
2816,旺旺保,107/01/01~107/12/31,108/06/26,,2018,28162018,22.83,17,2.83,M2870,15.49,0,0,0,0,15.96,15.88,18.64,1
2820,華票,107/01/01~107/12/31,108/06/28,,2018,28202018,17.35,19,0.99,M2810,11.5,0,0,0,0,12.3,11.73,12.43,1
2832,台產,107/01/01~107/12/31,108/06/19,,2018,28322018,23.24,17,1.55,M2870,16.01,0,0,0,0,16.86,16.41,17.4,1
2834,臺企銀,107/01/01~107/12/31,108/06/28,,2018,28342018,13.27,21,1.2,M2810,9.25,0,0,0,0,10.57,10.53,10.44,1
2836,高雄銀,107/01/01~107/12/31,108/06/18,,2018,28362018,13.88,19,0.46,M2810,7.54,0,0,0,0,7.85,7.5,8,1
2838,聯邦銀,107/01/01~107/12/31,108/06/28,,2018,28382018,18.61,20,1.1,M2810,7.49,0,0,0,0,7.83,8.19,8.28,1
2845,遠東銀,107/01/01~107/12/31,108/06/28,,2018,28452018,13.69,20,1.02,M2810,8.37,0,0,0,0,9.55,9.19,9.51,1
2849,安泰銀,107/01/01~107/12/31,108/06/27,,2018,28492018,18.31,20,1.21,M2810,10.69,0,0,0,0,12.49,12.43,13.42,1
2850,新產,107/01/01~107/12/31,108/06/24,,2018,28502018,33.52,17,5.6,M2870,29.58,0,0,0,0,30.38,30.19,31.36,1
2851,中再保,107/01/01~107/12/31,108/06/26,,2018,28512018,18.97,17,1.78,M2870,13.99,0,0,0,0,14.94,14.78,16.39,1
2852,第一保,107/01/01~107/12/31,108/06/19,,2018,28522018,19.82,17,1.63,M2870,11.25,0,0,0,0,11.43,11.53,11.67,1
