公司代號,公司名稱,報告書內容涵蓋期間,中文版上傳日期,產業類別
5703,亞都麗緻,110/01/01~110/12/31,111/09/22,觀光餐旅
5864,致和證,110/01/01~110/12/31,111/09/26,金融業
5878,台名,110/01/01~110/12/31,111/09/23,金融業
5902,德記,110/01/01~110/12/31,111/08/31,居家生活
5903,全家,110/01/01~110/12/31,111/06/24,居家生活
5904,寶雅,110/01/01~110/12/31,111/09/05,居家生活
6015,宏遠證,110/01/01~110/12/31,111/09/21,金融業
6016,康和證,110/01/01~110/12/31,111/08/23,金融業
6020,大展證,110/01/01~110/12/31,111/06/21,金融業
6021,美好證,110/01/01~110/12/31,111/09/19,金融業
6023,元大期貨,110/01/01~110/12/31,111/09/28,金融業
6026,福邦證,110/01/01~110/12/31,111/09/29,金融業
6121,新普,110/01/01~110/12/31,111/10/28,電腦及週邊設備業
6147,頎邦,110/01/01~110/12/31,111/06/30,半導體業
6173,信昌電,110/01/01~110/12/31,111/09/14,電子零組件業
6180,橘子,110/01/01~110/12/31,111/08/30,文化創意業
6182,合晶,110/01/01~110/12/31,111/06/20,半導體業
6187,萬潤,110/01/01~110/12/31,111/09/28,其他電子業
6207,雷科,110/01/01~110/12/31,111/12/08,電子零組件業
6208,日揚,110/01/01~110/12/31,111/08/15,電子零組件業
6220,岳豐,110/01/01~110/12/31,111/09/08,電子零組件業
6245,立端,110/01/01~110/12/31,111/07/01,通信網路業
6263,普萊德,110/01/01~110/12/31,111/05/30,通信網路業
6274,台燿,110/01/01~110/12/31,111/06/17,電子零組件業
6279,胡連,110/01/01~110/12/31,111/06/29,電子零組件業
6284,佳邦,110/01/01~110/12/31,111/06/28,電子零組件業
6446,藥華藥,110/01/01~110/12/31,111/06/30,生技醫療業
6469,大樹,110/01/01~110/12/31,111/09/30,生技醫療業
6486,互動,110/01/01~110/12/31,111/06/10,通信網路業
6488,環球晶,110/01/01~110/12/31,111/06/29,半導體業
6496,科懋,110/01/01~110/12/31,111/09/30,生技醫療業
6499,益安,110/01/01~110/12/31,111/09/30,生技醫療業
6506,雙邦,110/01/01~110/12/31,111/06/20,紡織纖維
6509,聚和,110/01/01~110/12/31,111/09/29,化學工業
6510,精測,110/01/01~110/12/31,111/09/28,半導體業
6523,達爾膚,110/01/01~110/12/31,111/09/30,生技醫療業
6538,倉和,110/01/01~110/12/31,111/09/27,電子零組件業
6542,隆中,110/01/01~110/12/31,111/06/30,文化創意業
6548,長科*,110/01/01~110/12/31,111/06/30,半導體業
6556,勝品,110/01/01~110/12/31,111/08/24,光電業
6561,是方,110/01/01~110/12/31,111/09/27,通信網路業
6569,醫揚,110/01/01~110/12/31,111/07/07,生技醫療業
6570,維田,110/01/01~110/12/31,111/07/28,電腦及週邊設備業
6589,台康生技,110/01/01~110/12/31,111/09/30,生技醫療業
6613,朋億*,110/01/01~110/12/31,111/06/30,其他電子業
6664,群翊,110/01/01~110/12/31,111/06/29,電子零組件業
6683,雍智科技,110/01/01~110/12/31,111/06/17,半導體業
6684,安格,110/01/01~110/12/31,111/09/26,半導體業
6703,軒郁,110/01/01~110/12/31,111/09/29,生技醫療業
6732,昇佳電子,110/01/01~110/12/31,111/09/30,半導體業
6752,叡揚,110/01/01~110/12/31,111/09/30,資訊服務業
6803,崑鼎,110/01/01~110/12/31,111/08/04,綠能環保
6829,千附精密,110/01/01~110/12/31,111/09/29,電機機械
7402,邑錡,110/01/01~110/12/31,111/06/23,光電業
8044,網家,110/01/01~110/12/31,111/08/12,數位雲端
8064,東捷,110/01/01~110/12/31,111/09/29,光電業
8069,元太,110/01/01~110/12/31,111/08/15,光電業
8074,鉅橡,110/01/01~110/12/31,111/09/30,電子零組件業
8121,越峰,110/01/01~110/12/31,111/08/05,電子零組件業
8182,加高,110/01/01~110/12/31,111/06/28,電子零組件業
8234,新漢,110/01/01~110/12/31,111/09/29,電腦及週邊設備業
8255,朋程,110/01/01~110/12/31,111/05/31,電機機械
8299,群聯,110/01/01~110/12/31,111/06/27,半導體業
8349,恒耀國際,110/01/01~110/12/31,111/09/29,鋼鐵工業
8383,千附,110/01/01~110/12/31,111/09/29,其他電子業
8390,金益鼎,110/01/01~110/12/31,111/09/29,綠能環保
8415,大國鋼,110/01/01~110/12/31,111/06/27,鋼鐵工業
8420,明揚,110/01/01~110/12/31,111/06/02,運動休閒
8426,紅木-KY,110/01/01~110/12/31,111/09/29,其他
8432,東生華,110/01/01~110/12/31,111/05/06,生技醫療業
8435,鉅邁,110/01/01~110/12/31,111/06/27,其他
8436,大江,110/01/01~110/12/31,111/09/29,生技醫療業
8444,綠河-KY,110/01/01~110/12/31,111/09/23,其他
8450,霹靂,110/01/01~110/12/31,111/08/11,文化創意業
8905,裕國,110/01/01~110/12/31,111/09/23,其他
8916,光隆,110/01/01~110/12/31,111/07/01,其他
8929,富堡,110/01/01~110/12/31,111/08/15,其他
8936,國統,110/01/01~110/12/31,111/09/30,其他
8938,明安,110/01/01~110/12/31,111/08/31,運動休閒
1101,台泥,109/01/01~109/12/31,110/06/22,水泥工業
1102,亞泥,109/01/01~109/12/31,110/06/30,水泥工業
1103,嘉泥,109/01/01~109/12/31,110/06/30,水泥工業
1104,環泥,109/01/01~109/12/31,110/06/16,水泥工業
1108,幸福,109/01/01~109/12/31,110/06/18,水泥工業
1110,東泥,109/01/01~109/12/31,110/06/28,水泥工業
1201,味全,109/01/01~109/12/31,110/09/30,食品工業
1203,味王,109/01/01~109/12/31,110/08/31,食品工業
1210,大成,109/01/01~109/12/31,110/09/22,食品工業
1213,大飲,109/01/01~109/12/31,110/09/30,食品工業
1215,卜蜂,109/01/01~109/12/31,110/09/30,食品工業
1216,統一,109/01/01~109/12/31,110/08/10,食品工業
1217,愛之味,109/01/01~109/12/31,110/09/24,食品工業
1218,泰山,109/01/01~109/12/31,110/06/25,食品工業
1219,福壽,109/01/01~109/12/31,110/06/30,食品工業
1220,台榮,109/01/01~109/12/31,110/09/17,食品工業
1225,福懋油,109/01/01~109/12/31,110/08/18,食品工業
1227,佳格,109/01/01~109/12/31,110/09/17,食品工業
1229,聯華,109/01/01~109/12/31,110/09/07,食品工業
1231,聯華食,109/01/01~109/12/31,110/09/29,食品工業
1232,大統益,109/01/01~109/12/31,110/08/18,食品工業
1233,天仁,109/01/01~109/12/31,110/08/23,食品工業
1234,黑松,109/01/01~109/12/31,110/09/08,食品工業
1235,興泰,109/01/01~109/12/31,110/09/30,食品工業
1236,宏亞,109/01/01~109/12/31,110/08/02,食品工業
1256,鮮活果汁-KY,109/01/01~109/12/31,110/09/30,食品工業
1301,台塑,109/01/01~109/12/31,110/06/30,塑膠工業
1303,南亞,109/01/01~109/12/31,110/06/30,塑膠工業
