代號,名稱,Key,RPA_Count,FY,,上傳日期,Page
2834,臺企銀,28342021,1,110,2021,0111/05/20,96
2834,臺企銀,28342020,6,109,2020,0110/05/25,"90, 97, 101"
2855,統一證,28552021,2,110,2021,0111/06/01,"56, 111"
2855,統一證,28552020,3,109,2020,0110/06/29,"90, 91, 109"
2880,華南金,28802019,3,108,2019,109/06/02,"61, 93"
2880,華南金,28802020,6,109,2020,0110/06/07,"62, 91, 92, 93"
2880,華南金,28802022,7,111,2022,112/05/25,"66, 79, 98, 101"
2880,華南金,28802021,6,110,2021,0111/05/25,"67, 98, 99, 101"
2881,富邦金,28812020,4,109,2020,0110/05/21,"171, 177, 179, 216"
2881,富邦金,28812022,7,111,2022,112/05/19,"10, 181, 187, 197, 198, 252"
2881,富邦金,28812019,1,108,2019,109/05/12,200
2881,富邦金,28812021,9,110,2021,0111/06/10,"193, 195, 198, 205, 206, 259"
2882,國泰金,28822018,1,107,2018,0108/05/14,122
2882,國泰金,28822019,1,108,2019,109/05/12,136
2882,國泰金,28822021,2,110,2021,0111/05/17,"190, 200"
2882,國泰金,28822022,2,111,2022,112/05/09,"219, 230"
2882,國泰金,28822020,2,109,2020,0110/05/11,"69, 180"
2883,開發金,28832022,1,111,2022,112/05/26,172
2883,開發金,28832019,2,108,2019,109/05/26,"174, 175"
2883,開發金,28832021,2,110,2021,0111/05/26,"181, 182"
2884,玉山金,28842022,1,111,2022,112/05/09,75
2884,玉山金,28842021,1,110,2021,0111/05/17,79
2885,元大金,28852022,11,111,2022,112/05/18,"164, 169, 175, 197, 199, 204, 212, 235"
2886,兆豐金,28862017,1,106,2017,0107/05/30,70
2886,兆豐金,28862021,1,110,2021,0111/05/23,90
2886,兆豐金,28862022,2,111,2022,112/05/22,"10, 93"
2886,兆豐金,28862020,3,109,2020,0110/06/01,"80, 83, 87"
2887,台新金,28872020,1,109,2020,0110/05/24,90
2887,台新金,28872021,1,110,2021,0111/05/27,90
2887,台新金,28872022,1,111,2022,112/05/25,90
2888,新光金,28882019,13,108,2019,109/05/29,"7, 121, 126, 127, 156, 178, 181"
2888,新光金,28882020,17,109,2020,0110/05/06,"8, 77, 78, 136, 139, 141, 142, 162, 166, 172, 193, 195, 198"
2888,新光金,28882021,20,110,2021,0111/05/06,"85, 146, 147, 149, 150, 151, 165, 174, 177, 185, 207, 208, 212, 250"
2888,新光金,28882022,9,111,2022,112/05/19,"9, 156, 159, 160, 162, 195, 204, 226, 273"
2889,國票金,28892022,1,111,2022,112/05/12,136
2890,永豐金,28902018,1,107,2018,0108/05/14,68
2890,永豐金,28902020,3,109,2020,0110/04/27,"5, 79, 103"
2890,永豐金,28902021,7,110,2021,0111/04/26,"84, 86, 97, 111"
2890,永豐金,28902022,8,111,2022,112/04/21,"89, 91, 103, 109, 118, 120"
2891,中信金,28912019,1,108,2019,109/05/19,129
2891,中信金,28912018,1,107,2018,0108/05/14,135
2891,中信金,28912020,2,109,2020,0110/05/11,"136, 140"
2891,中信金,28912022,4,111,2022,112/05/18,"14, 156, 159"
2891,中信金,28912021,3,110,2021,0111/05/16,"151, 154, 155"
2892,第一金,28922022,1,111,2022,112/05/26,5
2892,第一金,28922021,3,110,2021,0111/05/27,"78, 79"
2903,遠百,29032022,2,111,2022,112/06/02,"31, 37"
2936,客思達-KY,29362021,2,110,2021,111/06/06,62
3005,神基,30052018,1,107,2018,0108/05/16,41
3005,神基,30052019,1,108,2019,109/05/12,46
