Key,Industry,Year,Trade,RPA,RPA_Ctd,Big4,GC,LGTA,BM,LEV,OCF,MTB,Age_Raw,Age_Trade_Raw,Age,Age_Trade,ESG,RD,ADV,DA,DA1,DA2,DA3,ROA,Median_ROA,ADJROA,ABCFO,ABPROD,ABEXP
11032021,M1100,2021,TSE,0,0,1,0,17.5105622,1.984688948,0.356229933,-0.004837947,0.503857293,69,54,4.248495242,4.007333185,56.31,0,0.014847405,0.026994227,0.026145877,0.033980306,0.000983989,0.018391252,0.046227812,-0.02783656,-0.0444008,0.097579118,-0.062239511
11032022,M1100,2022,TSE,1,1,1,0,17.41041757,1.367086236,0.395824528,-0.010761112,0.73148275,69,54,4.248495242,4.007333185,56.67,0,0.018643463,0.008433012,0.007609546,0.021457001,-0.024781374,-0.004320401,0.039731572,-0.044051973,-0.049301572,0.094809725,-0.063124195
11042017,M1100,2017,TSE,0,0,1,0,16.87088853,1.830279843,0.191926472,0.030445742,0.546364538,63,52,4.158883083,3.970291914,55.17,0.019400614,0.02002871,0.058532037,0.056897061,0.050591935,0.043768277,0.068291382,0.037403349,0.030888033,-0.012571606,0.085976475,-0.069382698
11042018,M1100,2018,TSE,0,0,1,0,16.93242329,1.812504574,0.210275457,0.02668359,0.551722746,63,52,4.158883083,3.970291914,58.06,0.015262098,0.020469803,0.040605506,0.040191916,0.039651341,0.024189142,0.049534019,0.049534019,0,-0.017074878,0.090412751,-0.068760349
11042019,M1100,2019,TSE,0,0,1,0,16.96832918,1.936857162,0.226429458,0.032043464,0.516300334,63,52,4.158883083,3.970291914,55.89,0.013722471,0.022232717,0.036150127,0.035245626,0.034402136,0.023995048,0.050569325,0.050569325,0,-0.01194914,0.091191711,-0.068869924
11042020,M1100,2020,TSE,0,0,1,0,16.99784422,1.465627965,0.22061972,0.04207699,0.682301392,63,52,4.158883083,3.970291914,60.88,0.012751978,0.018748054,0.029977268,0.029386311,0.02784489,0.019530806,0.053832946,0.053832946,0,-0.002420251,0.080117158,-0.069718007
11042021,M1100,2021,TSE,0,0,1,0,17.03825178,1.527168004,0.227612325,0.055075141,0.654806804,63,52,4.158883083,3.970291914,64.68,0.012943184,0.013874901,0.007763975,0.007600148,0.00831394,0.006638493,0.046227812,0.046227812,0,0.010621285,0.075446815,-0.070650587
11042022,M1100,2022,TSE,0,0,1,0,17.14097436,1.160902162,0.225997437,0.036425673,0.861399033,63,52,4.158883083,3.970291914,61.72,0.013089252,0.016921426,0.067830953,0.067984373,0.057950732,0.051060611,0.087002729,0.039731572,0.047271157,-0.007700372,0.072738902,-0.068345962
11082017,M1100,2017,TSE,0,0,1,0,15.79469686,1.637986523,0.388056851,0.011197825,0.610505634,49,33,3.912023005,3.526360525,53.85,0,0.029740099,-0.003340742,-0.007993857,0.004799994,-0.026011131,-0.013195885,0.037403349,-0.050599234,-0.037709507,0.105788721,-0.08336563
11082018,M1100,2018,TSE,0,0,1,0,15.80249369,1.782216438,0.420442896,0.010385416,0.561099078,49,33,3.912023005,3.526360525,48.04,0,0.031737215,-0.019402251,-0.02097913,-0.001615361,-0.044545142,-0.027766493,0.049534019,-0.077300512,-0.04065438,0.127738435,-0.076941089
11082019,M1100,2019,TSE,0,0,1,0,15.80733286,1.292480221,0.410423043,0.035850922,0.773706231,49,33,3.912023005,3.526360525,45.62,0,0.030749557,-0.018459298,-0.016278048,-0.005241379,-0.027842936,0.006293826,0.050569325,-0.044275499,-0.018789255,0.11087707,-0.074959244
11082020,M1100,2020,TSE,0,0,1,0,15.89835966,0.984260806,0.419865342,0.103653317,1.015990878,49,33,3.912023005,3.526360525,58.52,0,0.026368536,-0.045191476,-0.042978595,-0.04190361,-0.017676942,0.053523753,0.053832946,-0.000309194,0.053576711,0.074464708,-0.073876744
11082021,M1100,2021,TSE,0,0,1,0,15.90015231,1.188196516,0.422315154,0.010212131,0.841611624,49,33,3.912023005,3.526360525,58.28,0,0.029581945,0.049956868,0.044400962,0.045902148,0.016022626,0.03266413,0.046227812,-0.013563682,-0.039199745,0.065053978,-0.083638035
11082022,M1100,2022,TSE,0,0,1,0,16.08369787,0.749591864,0.492252691,0.066723412,1.334059304,49,33,3.912023005,3.526360525,52.82,0,0.026448857,0.019109606,0.020360849,0.01354163,0.022422637,0.072275797,0.039731572,0.032544225,0.025212282,0.024750649,-0.071592412
11092017,M1100,2017,TSE,0,0,1,0,15.96458602,1.617610828,0.207749164,0.068593348,0.618195664,59,32,4.094344562,3.496507561,60.24,0,0.027890891,0.039080179,0.04343582,0.035506656,0.04087941,0.082141555,0.037403349,0.044738206,0.00736207,0.026115176,-0.062119783
11092018,M1100,2018,TSE,0,0,1,0,16.1351962,1.570418732,0.244029969,0.097999936,0.636772843,59,32,4.094344562,3.496507561,62.18,0,0.02485357,0.050337255,0.060183896,0.032443527,0.091777216,0.146148649,0.049534019,0.096614629,0.049122415,-0.057194409,-0.066960019
11092019,M1100,2019,TSE,0,0,1,0,16.23064671,1.787349446,0.228853965,0.191070756,0.559487683,59,32,4.094344562,3.496507561,57.63,0,0.023127244,-0.051975645,-0.051148929,-0.073279516,0.038525355,0.143388591,0.050569325,0.092819266,0.144447901,-0.064657152,-0.065911876
