代號,名稱,Year,Industry,Key,LGTA,MVE,RPA,RPA_Ctd,LN_RPA_Count,RPA_Count,Finance,KY,BM,ABSDA,DA,ABCFO,DA_ROA,LGTA,LEV,OCF,MTB,Age,Age_Trade,Big4,GC,ESG,RD
1215,卜蜂,2020,M1200,12152020,16.78829908,18244827.28,0,0,0,0,0,0,0.478682854,0.00703662,0.00703662,0.038496555,-0.000325084,16.78829908,0.553190931,0.122357684,2.089065843,46,36,1,0,63.49,0
1215,卜蜂,2019,M1200,12152019,16.74137606,14629628.69,0,0,0,0,0,0,0.589693299,0.03689817,0.03689817,0.030712206,0.021043842,16.74137606,0.537435549,0.105108797,1.695796784,46,36,1,0,61.19,0
1215,卜蜂,2018,M1200,12152018,16.57489777,13415629.46,0,0,0,0,0,0,0.540912748,0.04134935,0.04134935,-0.033262298,0.039113314,16.57489777,0.540430042,0.063038104,1.848726997,46,36,1,0,58.38,0
1215,卜蜂,2017,M1200,12152017,16.44640048,11062668.48,0,0,0,0,0,0,0.628918241,0.024539696,0.024539696,0.036620524,0.010069764,16.44640048,0.498959177,0.123664116,1.590031796,46,36,1,0,52.03,0
1216,統一,2022,M1200,12162022,20.1279709,415639397.3,0,0,0,0,0,0,0.462407932,0.051628717,-0.051628717,0.036365173,-0.047440576,20.1279709,0.651441814,0.113841817,2.162592661,56,36,1,0,70.54,0.001750729
1216,統一,2021,M1200,12162021,20.05781092,350580325.5,0,0,0,0,0,0,0.516268974,0.037130849,-0.037130849,0.03293805,-0.037070775,20.05781092,0.647899239,0.10962759,1.936974814,56,36,1,0,76.47,0.001969482
1216,統一,2020,M1200,12162020,20.02075191,368421852.6,0,0,0,0,0,0,0.490195117,0.042377104,-0.042377104,0.05086309,-0.046206777,20.02075191,0.635403677,0.124602644,2.040004001,56,36,1,0,77.14,0.002018421
1216,統一,2019,M1200,12162019,19.98398104,346148353.8,0,0,0,0,0,0,0.502689968,0.040622751,-0.040622751,0.058375422,-0.043822615,19.98398104,0.635556847,0.123302211,1.989297706,56,36,1,0,73.73,0.002038552
1216,統一,2018,M1200,12162018,19.82469244,389104387.2,0,0,0,0,0,0,0.437673898,0.017197861,-0.017197861,0.018488289,-0.017500496,19.82469244,0.581724676,0.105850104,2.284806118,56,36,1,0,74.48,0.002197038
1216,統一,2017,M1200,12162017,19.8429585,338761734.3,0,0,0,0,0,0,0.564704259,0.063963634,0.063963634,0.0409439,0.035005377,19.8429585,0.538652652,0.112050741,1.770838424,56,36,1,0,74.08,0.002434624
1217,愛之味,2022,M1200,12172022,16.43692669,6329766.4,0,0,0,0,0,0,1.187638141,0.024032142,0.024032142,-0.042467063,0.030807422,16.43692669,0.45348101,0.009347236,0.842007313,52,34,0,0,62.96,0.010113475
1217,愛之味,2021,M1200,12172021,16.44284039,4856117.66,0,0,0,0,0,0,1.52330926,0.023048228,0.023048228,-0.043020345,0.030944085,16.44284039,0.465383405,0.008624987,0.656465516,52,34,0,0,62.93,0.011098139
1217,愛之味,2020,M1200,12172020,16.40634199,5409972.22,0,0,0,0,0,0,1.267746621,0.002028865,-0.002028865,-0.013757301,0.005670431,16.40634199,0.485904618,0.037238157,0.788801156,52,34,0,0,61.67,0.009077934
1217,愛之味,2019,M1200,12172019,16.37242666,3540713.08,0,0,0,0,0,0,1.818635358,0.004930704,0.004930704,-0.034199349,0.015983388,16.37242666,0.500676722,0.017459929,0.549862838,52,34,0,0,59.18,0.009500837
1217,愛之味,2018,M1200,12172018,16.34800172,3313237.1,0,0,0,0,0,0,1.893000655,0.010509585,-0.010509585,-0.016858019,0.000549228,16.34800172,0.501624894,0.034198508,0.528261835,52,34,0,0,60.15,0.009438387
1217,愛之味,2017,M1200,12172017,16.32040675,3639615.68,0,0,0,0,0,0,1.682540009,0.024169392,0.024169392,-0.044895076,0.033248068,16.32040675,0.499783129,0.006441443,0.594339507,52,34,0,0,59.78,0.011324518
1218,泰山,2022,M1200,12182022,16.62819725,13764972.47,0,0,0,0,0,0,0.913031902,0.279475276,0.279475276,-0.124631609,0.21164342,16.62819725,0.245382298,-0.025872786,1.095251982,63,34,1,0,62.88,0
1218,泰山,2021,M1200,12182021,16.179969,14939970.12,0,0,0,0,0,0,0.467947857,0.090663692,0.090663692,-0.117431697,0.093610258,16.179969,0.342832711,-0.025713847,2.136990233,63,34,1,0,58.22,0
1218,泰山,2020,M1200,12182020,16.03908112,13299973.4,0,0,0,0,0,0,0.528692937,0.060780611,0.060780611,-0.031033979,0.050866757,16.03908112,0.239025937,0.044302734,1.891457082,63,34,1,0,59.58,0
1218,泰山,2019,M1200,12182019,16.03789886,10434979.13,0,0,0,0,0,0,0.632983825,0.037732924,0.037732924,-0.033348597,0.03330631,16.03789886,0.284329325,0.039135271,1.5798192,63,34,1,0,57.14,0
1218,泰山,2018,M1200,12182018,15.99105764,8564982.87,0,0,0,0,0,0,0.747544869,0.020663723,0.020663723,-0.024595373,0.018090996,15.99105764,0.272997894,0.047692279,1.337712345,63,34,1,0,56.53,0
1218,泰山,2017,M1200,12182017,15.82801243,7644984.71,0,0,0,0,0,0,0.499934159,0.051472392,0.051472392,-0.0649109,0.050816868,15.82801243,0.489176375,0.009763683,2.000263399,63,34,1,0,55.1,0
1219,福壽,2022,M1200,12192022,16.14527249,6562645.32,0,0,0,0,0,0,0.67561262,0.076546678,0.076546678,-0.150253006,0.091126455,16.14527249,0.568506821,-0.023942983,1.48013813,68,33,0,0,69.08,0.003326881
1219,福壽,2021,M1200,12192021,16.02928575,5963699.28,0,0,0,0,0,0,0.75023518,0.067079681,0.067079681,-0.131756057,0.082115173,16.02928575,0.511029328,-0.011525547,1.332915367,68,33,0,0,69.91,0.002435789
1219,福壽,2020,M1200,12192020,15.96144921,6627048.12,0,0,0,0,0,0,0.670496716,0.004548164,0.004548164,-0.001871833,0.000541344,15.96144921,0.480306285,0.096248881,1.491431615,68,33,0,0,70.08,0.002910542
1219,福壽,2019,M1200,12192019,16.00577441,5783371.44,0,0,0,0,0,0,0.684598947,0.063583348,0.063583348,-0.111707229,0.074084406,16.00577441,0.557006037,-0.012483146,1.460709229,68,33,0,0,66.49,0.003226379
1219,福壽,2018,M1200,12192018,15.95740176,4862411.4,0,0,0,0,0,0,0.784925767,0.014909672,-0.014909672,-0.058928159,0.004028725,15.95740176,0.551803194,0.038607123,1.274005826,68,33,0,0,66.35,0.003559356
1219,福壽,2017,M1200,12192017,15.95107094,4930034.34,0,0,0,0,0,0,0.800736613,0.082848584,0.082848584,-0.130273484,0.092371035,15.95107094,0.533472185,-0.036941488,1.248850101,68,33,0,0,66.75,0.003358839
1220,台榮,2022,M1200,12202022,14.97957501,2594192.7,0,0,0,0,0,0,0.938261448,0.080204136,0.080204136,-0.110795406,0.089389828,14.97957501,0.240059945,-0.032290797,1.065801011,54,32,0,0,51.37,0
1220,台榮,2021,M1200,12202021,15.00691167,2592421.92,0,0,0,0,0,0,1.00045829,0.004887829,0.004887829,0.006431239,0.004308405,15.00691167,0.212073433,0.080625758,0.99954192,54,32,0,0,54.41,0
1220,台榮,2020,M1200,12202020,14.94733065,2569401.78,0,0,0,0,0,0,0.991901703,0.0620207,-0.0620207,0.08247151,-0.068338228,14.94733065,0.178216462,0.149470415,1.008164415,54,32,0,0,53.48,0
1220,台榮,2019,M1200,12202019,14.9628565,1641513.06,0,0,0,0,0,0,1.509880768,0.004834146,0.004834146,-0.012661816,0.007123582,14.9628565,0.213133631,0.059799252,0.662303952,54,32,0,0,48.49,0
1220,台榮,2018,M1200,12202018,14.94902753,1574223.42,0,0,0,0,0,0,1.537486972,0.018589182,0.018589182,-0.034084657,0.023357869,14.94902753,0.220892028,0.037743963,0.650412015,54,32,0,0,46.2,0
1220,台榮,2017,M1200,12202017,14.92324875,1678699.44,0,0,0,0,0,0,1.42143313,0.0243289,0.0243289,-0.023810026,0.020552236,14.92324875,0.211839262,0.032277094,0.703515332,54,32,0,0,46,0
1225,福懋油,2022,M1200,12252022,16.06058973,11372556,0,0,0,0,0,0,0.338743023,0.055954524,0.055954524,-0.115633459,0.068991996,16.06058973,0.591959804,-5.69E-05,2.952090322,37,32,1,0,59.64,0.002526063
1225,福懋油,2021,M1200,12252021,16.02479194,9782585.19,0,0,0,0,0,0,0.395850782,0.139990607,0.139990607,-0.19940889,0.150844766,16.02479194,0.574884995,-0.065803375,2.526204432,37,32,1,0,59.52,0.002802513
1225,福懋油,2020,M1200,12252020,15.8558726,8689070.19,0,0,0,0,0,0,0.429636419,0.020018952,0.020018952,-0.021020225,0.015131858,15.8558726,0.514760196,0.067895262,2.327549425,37,32,1,0,58.77,0.003438099
1225,福懋油,2019,M1200,12252019,15.86204363,6932885.1,0,0,0,0,0,0,0.526249743,0.034379943,0.034379943,-0.03638859,0.02686272,15.86204363,0.528688672,0.053188618,1.900238458,37,32,1,0,66.34,0.003106089
1225,福懋油,2018,M1200,12252018,15.67588165,13463356.68,0,0,0,0,0,0,0.2674879,0.052145211,-0.052145211,0.004077134,-0.047909065,15.67588165,0.439586494,0.118827672,3.738486862,37,32,1,0,67.48,0.002793256
1225,福懋油,2017,M1200,12252017,15.76384918,15011773.92,0,0,0,0,0,0,0.242313668,0.058300439,0.058300439,-0.088382175,0.057065666,15.76384918,0.481609287,0.012525403,4.126882352,37,32,1,0,66.21,0.002668696
1227,佳格,2022,M1200,12272022,17.14519092,36823221.6,0,0,0,0,0,0,0.484850027,0.005307431,-0.005307431,-0.00729928,-0.012237309,17.14519092,0.360754915,0.066984795,2.06249344,37,29,1,0,61.64,0.005930892
1227,佳格,2021,M1200,12272021,17.15798854,39467831.7,0,0,0,0,0,0,0.468158908,0.036265782,-0.036265782,0.047551481,-0.045869036,17.15798854,0.34684416,0.134647395,2.136026855,37,29,1,0,64.55,0.005184824
1227,佳格,2020,M1200,12272020,17.14140456,43777905.6,0,0,0,0,0,0,0.411523273,0.035569197,0.035569197,-0.004200783,0.022174822,17.14140456,0.352511632,0.087341398,2.429996225,37,29,1,0,61.67,0.004817322
1227,佳格,2019,M1200,12272019,17.05372871,48975616.8,0,0,0,0,0,0,0.346104697,0.052445714,-0.052445714,0.11014655,-0.068863715,17.05372871,0.334960971,0.197207382,2.88929913,37,29,1,0,60.88,0.004745823
1227,佳格,2018,M1200,12272018,16.99346672,45269502.3,0,0,0,0,0,0,0.354329608,0.03211112,0.03211112,0.026283108,0.011074502,16.99346672,0.331587843,0.109979366,2.822230989,37,29,1,0,61.68,0.006137176
1227,佳格,2017,M1200,12272017,16.93829337,44491675.8,0,0,0,0,0,0,0.337672334,0.005761718,0.005761718,0.02900415,-0.008363917,16.93829337,0.338443562,0.111947482,2.961450789,37,29,1,0,60.59,0.003649682
1229,聯華,2022,M1200,12292022,18.06271279,92019682.1,0,0,0,0,0,0,0.580659722,0.019138083,0.019138083,0.004470133,0.015158993,18.06271279,0.235696346,0.052075476,1.722179036,68,47,1,0,67.36,0.00386586
1229,聯華,2021,M1200,12292021,18.08758628,69072752,0,0,0,0,0,0,0.816864167,0.042522557,0.042522557,-0.013786184,0.034663128,18.08758628,0.212740896,0.026859513,1.22419374,68,47,1,0,67.35,0.004220771
1229,聯華,2020,M1200,12292020,17.84065719,49478637.78,0,0,0,0,0,0,0.898369397,0.025056001,0.025056001,0.002269271,0.019711006,17.84065719,0.206085541,0.041810019,1.113127855,68,47,1,0,68.31,0.004164326
1229,聯華,2019,M1200,12292019,17.65592892,29220373,0,0,0,0,0,0,1.287806661,0.013218563,0.013218563,0.03925073,0.003595537,17.65592892,0.19152998,0.060616488,0.776514076,68,47,1,0,64.71,0.004977698
1229,聯華,2018,M1200,12292018,17.22960126,22284176.94,0,0,0,0,0,0,1.104846819,0.010374629,0.010374629,0.02927654,0.002113606,17.22960126,0.189826723,0.073042344,0.905102846,68,47,1,0,60.09,0.007554801
