"","EXP","A1","A2","ABEXP"
"149",0.086109127,1.58045e-06,0.905260047,-0.135569287292245
"150",0.109031827,6.05911e-07,0.713446009,-0.0315650124999487
"151",0.077366875,2.21967e-07,0.53650261,-0.0239121934447915
"152",0.087951672,2.63352e-07,0.48902362,-0.0127246274101318
"153",0.200129483,8.19619e-08,0.962403257,0.0775154605010353
"154",0.158789251,3.24062e-07,1.170188144,0.00438480309938436
"155",0.016697086,1.14371e-07,0.293293991,-0.0594800116148751
"156",0.068480451,7.67233e-08,0.68321335,-0.0334651282612722
"157",0.042874835,5.46344e-09,0.855928392,-0.0667249976155411
"158",0.013794418,7.31741e-08,0.767216973,-0.0940168986411796
"159",0.038726107,2.91405e-08,0.800135416,-0.0684464357115401
"160",0.061152099,1.75619e-07,0.312325851,-0.0206282957141605
"161",0.027980906,1.14406e-07,0.72159253,-0.0793519907819879
"162",0.118158494,1.44895e-07,0.840000585,0.000112701059361344
"163",0.049340542,2.81856e-07,1.275275556,-0.109800417447153
"164",0.058030116,3.19796e-07,1.026159283,-0.0856041685158492
"165",0.08145506,2.76606e-07,1.277820452,-0.0775093714797786
"166",0.021524032,2.18177e-07,0.611733558,-0.0849660837945763
"167",0.169621959,1.00505e-07,1.02079164,0.0414835978580551
"168",0.211833054,7.82052e-08,0.621652857,0.114263156237404
"169",0.151364588,3.39976e-08,0.675251891,0.05294119425486
"170",0.421681461,7.11193e-08,0.696844486,0.319130408420318
"171",0.090680912,8.24672e-08,0.395452067,0.00927072574067777
"172",0.079448981,8.62985e-08,0.793873118,-0.0312052908024932
"173",0.032647691,2.96067e-08,0.813642227,-0.0755394175185829
"174",0.114203747,7.074e-08,0.65087806,0.0150223072756908
"175",0.27857936,6.24528e-08,1.164487999,0.142610039358481
"176",0.027165802,3.87259e-07,0.241881318,-0.0640690974653626
"177",0.052679434,4.16508e-08,0.841824085,-0.0583871916515641
"178",0.113750089,1.65192e-08,0.833746139,0.00500218166130345
"179",0.010899435,1.24822e-09,0.040310613,-0.0390839967148131
"180",0.135630184,9.90586e-08,0.456073721,0.0486676560206508
"181",0.054550672,2.44418e-07,0.696747188,-0.0599306947678652
"182",0.022441268,1.26035e-08,0.172155978,-0.0379144626055564
"183",0.049388432,8.52306e-08,0.680679125,-0.0529588250793811
"184",0.034238865,1.42189e-07,1.517206523,-0.1328788333606
"185",0.114598124,8.89854e-08,0.788911755,0.00411964699097672
"186",0.083210134,3.85702e-07,0.776390966,-0.046796438683836
"187",0.355256213,3.76227e-07,1.180898272,0.196479437712951
"188",0.229308073,3.7141e-07,0.478826447,0.121930096225351
"189",0.337608069,1.49292e-06,0.924644722,0.120549018664002
"190",0.149891012,3.74466e-07,0.798233418,0.0190696458642788
"191",0.143702767,1.60748e-07,0.391181963,0.0572109355438108
"192",0.104742013,2.69047e-07,0.861249058,-0.0234013449901506
"193",0.4203126,2.83587e-08,0.872861018,0.307904027848488
"194",0.098203868,1.18097e-07,0.483682703,0.00792170181723108
"195",0.098064241,4.15729e-07,0.208057411,0.00732850142465341
"196",0.108869894,2.91639e-07,0.519146861,0.00405400097714203
"197",0.306333525,3.38628e-07,0.643802858,0.189213700865558
"198",0.11373024,2.28271e-07,0.441636054,0.0189172923190471
"199",0.117392405,9.14126e-08,1.018665535,-0.00996499368132777
"200",0.097976236,5.45695e-07,0.805481614,-0.0451671697663189
"201",0.04482424,3.45416e-07,0.308536636,-0.0483767191350138
"202",0.183041556,1.28801e-06,1.045707581,-0.028708427628087
"203",0.193944912,7.90399e-07,0.40466525,0.0630998820918517
"204",0.272100892,5.60588e-07,0.516536778,0.14894874751884
"205",0.072479479,3.9336e-08,1.233374998,-0.0669081513289324
"206",0.104890399,4.42098e-07,0.223497773,0.0112151807463895
"207",0.132638912,2.25354e-07,0.830205832,0.00976328165157133
"208",0.072300254,8.55346e-08,0.236275204,0.00225691073737734
"209",0.17411383,4.7121e-08,0.596042729,0.0805479334966029
"210",0.091251842,7.59369e-07,0.396644197,-0.0368723064238456
"211",0.187965915,7.91196e-07,0.15608469,0.0751471270671981
"212",0.054045229,1.00548e-08,0.538853539,-0.0328076224308
"213",0.051313718,6.85353e-07,0.127115084,-0.0521070734270229
"214",0.06472198,1.05026e-07,0.336706355,-0.0139691120883533
"215",0.015081013,2.54291e-08,0.266478425,-0.0530189717462298
"216",0.129135592,2.28109e-07,0.501565856,0.0299746561893343
"217",0.10514646,8.71773e-08,0.463200805,0.0184839488605231
"218",0.065170201,7.91083e-07,0.356880444,-0.0622461951826972
"219",0.0416335,6.78655e-08,0.356703239,-0.0359523775690159
"220",0.200347912,3.66455e-07,0.869465064,0.0648971544936747
"221",0.014425141,8.04216e-08,0.02621937,-0.0399870541620726
"222",0.085417689,1.50511e-08,0.677090156,-0.0118343176482501
"223",0.068050458,2.94391e-08,0.648597334,-0.0281201438008898
"224",0.048510979,1.1107e-07,0.204730254,-0.020996825113263
"225",0.073065627,7.32954e-09,0.625201137,-0.0198802125499049
"226",0.061495351,1.28099e-08,0.725143118,-0.0390975292650478
"227",0.019821526,1.4535e-09,0.680713555,-0.0767573898723774
"228",0.041992084,1.80496e-08,1.061230478,-0.0834078968533106
"229",0.016062926,7.60537e-08,0.533804775,-0.0749689146423758
"230",0.025748613,1.36484e-07,0.211634966,-0.0460120239064858
"231",0.007554303,1.20658e-07,0.388375816,-0.0759718835175966
"232",0.034716431,4.32084e-08,1.137274834,-0.0979478522328212
"233",0.073967114,7.87929e-08,0.930562766,-0.0461126177845914
"234",0.023991199,7.19146e-08,1.148551019,-0.111470664977372
"235",0.016936187,2.66814e-08,1.433963901,-0.136170098581141
"236",0.032605647,3.72132e-08,1.427511821,-0.120756795508345
"237",0.034239787,8.83689e-08,0.356657611,-0.0447551141523636
"238",0.023803606,1.22973e-07,0.80653604,-0.0902979974372057
"239",0.05755049,1.14495e-07,1.225144702,-0.0864156908678549
"240",0.071888536,1.05107e-08,0.94645424,-0.0446435974751162
"241",0.0364806,4.98219e-07,0.760507067,-0.100121162271984
"242",0.017736819,5.119e-07,1.264874403,-0.156493782604446
"243",0.114664733,9.16833e-09,0.888284708,0.00245617593382312
"244",0.023290531,1.16463e-07,1.580514813,-0.146659965016407
