,CFO,A1,A2,A3,ABCFO
4421,-0.068157243,1.36E-06,0.0871,-0.027434216,-0.065442796
4422,0.139527476,1.55E-07,0.422,-0.080501026,0.090108476
4423,-0.322946844,1.31E-06,0.0175,0.000483063,-0.32003381
4424,-0.196769733,3.36E-06,0.34,-0.26975283,-0.129020299
4425,0.1836573,5.31E-07,0.876,0.034460752,0.123980281
4426,0.103690513,1.98E-07,0.773,-0.041976592,0.039871181
4427,0.027437937,8.16E-07,0.272,-0.073447324,0.006017163
4428,0.030409325,1.79E-06,0.703,-0.040653202,0.022585642
4429,0.065691922,8.44E-07,0.848,-0.034251891,0.020077985
4430,0.051901345,3.00E-08,0.419,-0.066968504,-0.002052161
4431,0.052487282,1.70E-07,0.537,-0.070176798,-0.001537134
4432,-0.086804531,1.71E-06,0.204,-0.078402718,-0.075394847
4433,-0.002762542,1.11E-06,0.411,-0.284580723,-0.012538593
4434,-0.140820934,2.71E-06,1.22,-0.369720941,-0.127447845
4435,0.02778868,4.27E-08,0.73,0.006849694,-0.041191891
4436,-0.099234447,1.01E-07,0.0137,0.004692042,-0.136686058
4437,0.102227832,2.33E-07,0.612,-0.062049847,0.046927045
4438,-0.145240313,3.60E-06,0.0145,-0.016337556,-0.065255121
4439,-0.025756342,4.07E-07,0.241,-0.102997716,-0.058500279
4440,0.071932719,1.99E-07,0.243,-0.215914532,0.036200409
4441,-0.018945167,2.57E-07,0.513,-0.00617862,-0.071365393
4442,0.029480717,6.90E-07,1.08,-0.185573284,-0.025418459
4443,0.075013804,6.22E-07,1.31,0.32814653,-0.010007733
4444,0.149797066,8.58E-08,1.05,-0.349238176,0.081813286
4445,0.199412606,2.48E-07,1.34,-0.488645426,0.129886762
4446,-0.001370012,4.62E-07,0.672,-0.037535753,-0.052372515
4447,0.061419703,1.46E-06,0.294,-0.291673062,0.068403812
4448,0.11076098,1.39E-07,0.612,0.015794235,0.049536575
4449,0.049991805,2.29E-07,0.368,-0.062630623,0.004628805
4450,0.044903067,4.30E-07,0.48,-0.111582468,0.003389628
4451,-0.014473294,5.03E-07,0.339,-0.147839458,-0.046444163
4452,0.057214659,5.91E-08,0.46,-0.190378216,0.006958886
4453,0.151069547,3.82E-07,0.996,-0.02702015,0.083673672
4454,0.089354393,2.53E-07,0.574,-0.144827022,0.039247966
4455,-0.101286027,8.29E-07,0.010827,-0.000321548,-0.114130763
4456,-0.024299982,2.97E-06,0.111,0.024736936,0.029324312
4457,0.161494133,3.75E-08,0.724,-0.030465123,0.093921971
4458,0.072312877,1.89E-07,0.5,-0.135181782,0.022772456
4459,0.051906594,5.84E-07,0.642,-0.113645177,0.008936348
4460,0.128854778,3.52E-07,0.743,-0.08100695,0.072809771
4461,0.128577303,1.01E-07,0.734,0.000959671,0.061589416
4462,0.060392736,1.29E-06,0.391,-0.168393883,0.053294544
4463,0.035713675,1.80E-07,0.494,0.113909617,-0.022791125
4464,0.052733045,2.42E-07,0.219,-0.165738827,0.017630174
4465,0.055366622,1.00E-06,0.546,-0.162894387,0.032003502
4466,0.042260266,4.78E-07,0.388,-0.051244724,0.003980669
4467,0.005364534,3.39E-07,0.651,0.042136262,-0.05173033
4468,0.161970121,5.92E-07,0.596,-0.061049958,0.119280248
4469,0.014754403,5.98E-07,0.797,0.106532383,-0.042009582
4470,0.129101483,8.44E-08,0.604,-0.03797157,0.068306836
4471,0.062652293,1.47E-07,0.645,-0.15327005,0.006383831
4472,0.048662075,1.79E-06,0.634,0.012677247,0.041772719
4473,0.059655148,2.57E-07,0.406,0.055176965,0.009447412
4474,0.00744878,8.47E-07,0.431,0.007300617,-0.02237488
4475,0.08547546,4.66E-07,0.696,-0.063376317,0.034542363
4476,0.110513413,4.20E-07,0.528,-0.166696857,0.068660557
4477,0.156651331,6.00E-07,0.572,0.147110536,0.107770437
4478,0.080868154,3.28E-07,0.216,-0.107093616,0.04666257
4479,0.079959468,2.19E-07,0.459,0.039245308,0.026869669
4480,0.110541233,1.24E-07,0.257,-0.078252035,0.066803131
4481,0.063933536,2.04E-07,0.716,-0.063311916,0.003425685
4482,0.010546751,6.40E-07,0.763,0.04425054,-0.041186219
4483,0.142901754,4.51E-07,0.932,0.216400931,0.071737977
4484,0.048793412,4.28E-07,0.15,-0.198788515,0.023925894
4485,0.063469335,1.85E-07,0.453,0.075893087,0.008180324
4486,0.125742698,3.86E-07,0.926,0.01865381,0.059729812
4487,0.128654915,8.71E-07,0.752,-0.149910611,0.092034457
4488,-0.031963336,1.22E-06,0.486,-0.261163221,-0.041993352
4489,-0.034741691,7.26E-07,0.697,-0.111337454,-0.075318367
4490,0.118379316,6.02E-07,0.783,-0.117853261,0.070352746
4491,0.015063849,1.33E-07,0.194,-0.033719676,-0.027371803
4492,0.085758984,7.35E-07,0.596,-0.173774958,0.051876753
4493,-0.148641111,3.46E-06,0.0656,-0.013469367,-0.075418012
4494,0.028314023,5.26E-07,0.179,-0.201836369,0.005633392
4495,0.07066466,6.53E-07,0.545,-0.10316808,0.033619152
4496,0.035249613,3.42E-07,1.08,-0.023991248,-0.037050322
