"","PROD","A1","A2","A3","A4","ABPROD"
"5587",0.29357923,1.76974e-07,0.472366333,-0.0268,-0.019045393,-0.0563964600195135
"5588",1.012232661,1.11463e-07,1.299653594,-0.034,0.11353326,-0.0621200631292881
"5589",0.393204982,3.07988e-07,0.786286154,-0.00688,0.083015105,-0.217471810346294
"5590",0.111892416,2.69932e-06,0.061706567,0.0545,-0.058632036,0.217685521736605
"5591",2.186914589,4.964e-07,2.352035217,0.325,-0.6135379153,0.176117024056466
"5592",0.331931203,1.55487e-07,0.391804928,-0.079,-0.014987245,0.0444325135547637
"5593",0.494604924,2.33837e-07,0.710789591,-0.0735,0.013237485,-0.0698125438464154
"5594",0.421286118,1.21272e-07,0.705101791,-0.0249,0.023427994,-0.13248455093809
"5595",0.970708188,1.07214e-06,1.042431903,0.072,-0.1655688,0.144962794883939
"5596",1.718048226,1.07974e-07,2.042542224,-0.179,-0.02043982,-0.0543343831736819
"5597",1.161126727,4.37082e-07,1.296916256,0.235,0.054719151,0.138968789839401
"5598",0.34856259,1.18314e-07,0.511669218,0.0277,0.041494259,-0.0228100036272579
"5599",0.375456471,1.14835e-06,0.189741299,-0.16,0.049266661,0.292433648398923
"5600",0.455183906,2.60583e-07,0.605103777,-0.0631,0.047767977,-0.00921344591049413
"5601",0.320031475,9.89771e-07,0.426941559,-0.0127,-0.071146699,0.0336627200694724
"5602",1.03383596,3.29689e-08,1.199996762,0.0298,0.290654135,0.0744016031756979
"5603",0.97849145,3.76953e-07,1.042847848,-0.233,0.10709493,0.106601415822331
"5604",0.490377305,5.31221e-08,0.639084313,-0.0173,0.021496651,-0.0058857720953423
"5605",0.51138659,1.22741e-07,0.605963429,-0.146,0.516297322,0.0759842393792549
"5606",0.43874158,5.22991e-07,0.371905987,-0.249,0.210541923,0.175344420621575
"5607",1.10638368,7.84506e-07,1.236341756,0.289,-0.25838715,0.126142087739034
"5608",0.392815669,2.12063e-08,0.541597411,0.1,0.023930439,0.00209724727186504
"5609",2.632668701,1.02797e-07,2.967229776,-0.244,-0.462278649,-0.0174270799513367
"5610",0.476052473,4.57362e-08,0.617264451,-0.188,-0.153165458,-0.0477712790389753
"5611",1.397773896,2.99522e-07,1.770429017,0.355,-0.022866673,-0.0371041842316132
"5612",0.355420586,2.4824e-09,0.611220705,0.0203,-0.000394632,-0.113652877676627
"5613",0.380623958,2.54319e-07,0.643659485,0.119,-0.019071164,-0.0944248125549038
"5614",0.875187741,9.54512e-08,1.020812654,-0.138,0.081630142,0.0271533274322548
"5615",0.517593483,1.02008e-07,0.96785012,0.0853,0.117111883,-0.2419479981723
"5616",0.763584881,1.20702e-07,0.913614356,-0.148,-0.180228252,-0.0170408402282999
"5617",0.522092676,1.6634e-07,0.572713908,-0.0845,0.014684204,0.0764111670726635
"5618",0.607377707,1.51282e-07,0.786520199,-0.000488,-0.002323999,-0.0162650727964141
"5619",0.853725006,2.03665e-07,0.959145372,0.0463,0.011726431,0.0877954706160995
"5620",0.819874708,8.05242e-08,1.007142899,-0.153,0.163470957,-0.0106140149805223
"5621",2.502422399,7.93709e-07,2.88898872,0.247,0.306219978,0.105805805053223
"5622",0.532730604,2.52012e-07,0.578281326,-0.0837,0.116781248,0.0955028527336626
"5623",0.486961518,1.53616e-07,0.681792947,-0.194,0.107100755,-0.0649359802027947
"5624",1.282278206,6.38117e-07,1.416582754,0.358,0.185064865,0.194453464395217
"5625",0.373466639,8.95067e-07,0.646689372,0.0438,-0.00234239,-0.0945222213901375
"5626",0.484321476,9.17044e-08,0.645459099,-0.0926,0.079564235,-0.023066023828863
"5627",0.269720188,3.88863e-09,0.356307925,-0.0147,0.008244601,0.0220643647899773
"5628",0.494687653,1.34318e-07,0.67088891,-0.0177,-0.002232232,-0.0297044116242439
"5629",0.530654645,1.78014e-07,0.688739931,0.0754,-0.027718489,0.0048770924500811
"5630",0.390388223,1.14242e-07,0.515169365,-0.173,0.221894755,0.00052839321165161
"5631",0.84139822,2.01467e-07,1.11238568,0.176,0.090122583,-0.0307897599012856
"5632",0.458466039,6.34903e-08,0.580469645,-0.141,-0.033560404,-0.0118980629965493
"5633",0.513928783,8.91756e-07,0.879919706,-0.0242,0.156908924,-0.156366635006955
"5634",0.384454281,2.693e-07,0.481664037,-0.067,0.065852465,0.0311626725355538
"5635",0.445820324,2.42721e-07,0.557892586,-0.0955,-0.137577674,-0.0017382818964716
"5636",0.806424507,1.10913e-07,0.862868757,0.000904,-0.099641974,0.103905303031182
"5637",0.530608372,1.59198e-07,0.583503834,-0.0515,-0.023301182,0.0767654861333994
"5638",0.640578677,3.30695e-07,0.83922825,-0.0313,0.162701025,-0.0122999235794509
"5639",0.689691948,5.25833e-08,0.800334945,0.00749,-0.093795202,0.0425327009498815
"5640",0.175757686,4.78836e-07,0.154549085,-0.0155,-0.01651984,0.119933234982242
"5641",0.311651644,1.57558e-08,0.474789526,-0.278,0.411387053,-0.0437277554801545
"5642",0.52688378,2.88089e-07,0.715166321,0.0236,0.034235389,-0.0211598164661924
"5643",0.146972418,2.01288e-07,0.277482097,-0.00112,-0.048738257,-0.0278781568373573
"5644",0.370538335,7.61425e-07,0.671279887,-0.0274,0.072464816,-0.127902239958758
"5645",0.597747793,3.53698e-07,0.778826296,0.0792,-0.150504851,-0.0143416050128025
"5646",0.117955374,1.47687e-08,0.147907914,-0.203,-0.566810512,-0.0351045539782441
"5647",0.173489813,2.05038e-08,0.238334984,-0.0548,0.041511798,0.027805481144045
"5648",0.496081053,2.80041e-08,0.532219508,0.0101,0.062477387,0.102735772509897
"5649",0.082438572,5.65306e-08,0.108709698,0.0662,-0.108565375,0.0579774350419046
"5650",0.029722214,6.36243e-08,0.053089316,-0.0504,0.004011321,0.046824902845326
"5651",0.110509957,1.14155e-07,0.197551554,-0.253,0.321244492,-0.00054607558754002
"5652",0.180019199,1.97023e-08,0.240356459,0.00678,0.017066628,0.0403695399252865
"5653",0.699613398,7.92185e-08,0.736384402,0.728,0.005410306,0.24162571525156
"5654",0.286041544,2.51314e-08,0.316423689,0.0384,0.03217266,0.0858923376439256
"5655",0.787306362,1.09385e-07,0.800600412,-0.0167,-0.120215903,0.134956363937405
"5656",0.220834138,1.95453e-08,0.299568179,0.0174,0.088009575,0.0376777109162397
"5657",0.102029873,3.00192e-08,0.17982085,0.0808,-0.026629262,0.0244438110082612
"5658",0.235584997,4.86535e-08,0.312259177,0.0913,0.212293021,0.0673190635865813
"5659",5.48554e-05,1.59463e-07,0.01078040565,-0.0346,0.024456258,0.0625877812963711
"5660",0.000370739,1.94613e-07,0.01078040565,-0.234,0.22242289,0.050816288120143
"5661",0.119589431,3.19775e-08,0.189040458,-0.0668,0.047725131,0.0166702603326139
"5662",0.538162811,5.63882e-08,0.606791843,-0.21,0.190172218,0.0555770358653543
"5663",0.132038191,6.21138e-08,0.179253922,-0.0641,0.076566233,0.0422030326327852
"5664",0.086743603,1.19207e-07,0.094018916,-0.133,0.184562475,0.0739473966478633
"5665",0.004010354,5.12813e-08,0.01078040565,0.00131,-0.008001785,0.0657591435585127
"5666",0.421681524,7.96443e-08,0.591845983,0.29,-0.031001151,0.0145717099585066
"5667",0.12560212,8.82793e-08,0.196070812,0.0318,0.075426104,0.0377081518912986
"5668",0.131006273,7.63936e-09,0.181802923,-0.156,0.19507036,0.0338572009899811
"5669",0.808279388,1.49395e-07,0.839720973,0.174,0.066780127,0.17381529557754
"5670",0.054571828,2.5353e-08,0.080941522,0.00334,0.001677078,0.0545129901249319
"5671",1.538461461,1.43189e-07,1.641294124,0.00476,0.438174267,0.201639011249855
"5672",0.069568977,1.96732e-08,0.124439913,-0.504,0.348897068,-0.019031741970015
"5673",0.366955013,2.43883e-08,0.48337032,0.37,-0.139935559,0.0566645070726501
"5674",0.082164707,3.77972e-07,0.125418699,-0.315,-0.0210727,-0.00194594642902872
"5675",1.026673331,1.00609e-07,1.17081375,0.301,0.109721842,0.122403235261339
"5676",0.077510016,2.90064e-08,0.235880582,0.00256,0.021651225,-0.0581035596669776
"5677",0.768831745,4.36658e-09,0.832224156,0.0932,0.081454093,0.124244954750293
"5678",0.152620683,4.09358e-08,0.17672984,0.0223,0.018061666,0.0728764786776752
"5679",0.12930518,1.58206e-08,0.159280634,-0.023,0.043526004,0.0592360692072897
"5680",0.197128705,3.01032e-08,0.232718097,-0.000354,0.005672312,0.062225588347268
"5681",0.615944278,6.51039e-08,0.771850489,0.0958,0.046027466,0.023729965463165
"5682",1.022385709,7.14423e-09,1.065785233,0.0525,0.076837029,0.163145003149016
"5683",0.659422464,4.34525e-09,0.731931267,-0.00985,0.063396362,0.0846927260646318
"5684",0.157606006,2.31335e-07,0.208868228,-0.00805,-0.020676493,0.0463770202881858
"5685",0.143638617,4.89636e-08,0.184236723,-0.00282,0.02946916,0.0544301735778623
"5686",0.395665256,1.55613e-07,0.447980499,0.00434,0.02922529,0.0768617846552557
"5687",0.131008267,5.99113e-08,0.187484094,-0.5659,0.305188752,-0.0271962515654398
"5688",0.853107811,1.29807e-08,0.946958625,0.0801,0.078001528,0.104347581321361
"5689",2.222949094,1.34462e-07,2.422018671,-0.135,0.267253396,0.151410867770234
"5690",0.156665203,6.60681e-08,0.205735357,-0.0167,0.03629219,0.0472814476199127
"5691",0.656932539,4.14604e-09,0.751574794,0.00567,0.067769545,0.0678146507211097
"5692",1.033657627,2.92657e-07,1.145252793,0.349,0.088268339,0.16416605868047
"5693",0.059490282,2.30916e-09,0.109702377,0.00483,0.004572065,0.033694445217414
"5694",0.621040758,2.51133e-08,0.71673849,0.00899,0.016190136,0.0587928932819335
"5695",1.654169871,1.78948e-07,2.01461274,-0.0498,0.178816064,-0.0488775341913491
"5696",0.115409311,1.12442e-08,0.155545961,0.00861,0.02281533,0.0517023080913659
"5697",0.389749973,3.92691e-07,0.764123336,0.0258,0.072824196,-0.194054466564468
"5698",0.131433767,2.278e-07,0.179369804,-0.00175,0.012491663,0.0507577094861679
"5699",1.299281314,4.1972e-07,1.558218725,0.148,0.126477152,0.0372390401156658
"5700",2.504256807,8.78417e-07,2.82616399,0.434,0.054195669,0.171744912171003
"5701",0.016604287,1.16265e-07,0.040524323,-0.00186,-0.000714333,0.0542528478778151
"5702",0.038758287,1.66666e-07,0.253372273,0.0584,-0.032549821,-0.104113118633207
"5703",0.15574582,8.7097e-08,0.253949,-0.00534,-0.010206724,0.00135699700193905
"5704",0.20045427,1.18794e-07,0.240979174,0.00047,-0.146124751,0.0456118164962538
"5705",0.008525923,9.63392e-08,0.033404172,0.00157,5.98266e-05,0.0525112241946976
"5706",0.550215385,1.26574e-07,0.827238142,-0.0178,-0.041592721,-0.117337425312192
"5707",0.214836345,6.82922e-07,0.290407814,0.0374,-0.053118359,0.0500971453106347
"5708",0.006518594,6.24865e-07,0.01078040565,-0.13,-0.001374704,0.0653625159036764
"5709",2.431151181,1.6733e-06,2.839210804,-0.5659,-0.320169472,-0.0941285985821079
"5710",0.179073792,3.95673e-07,0.297944319,0.0327,0.005726974,0.00362341068586421
"5711",0.577789877,6.18594e-08,1.432474025,-0.0593,0.067839447,-0.625074837656908
"5712",0.353635164,9.95594e-07,0.435897155,-0.206,-0.112176618,0.022735043474629
"5713",0.773545147,7.22388e-07,1.601614681,0.0314,0.129415776,-0.536591701502477
"5714",0.953343227,1.05734e-07,1.716294598,-0.00573,0.050673816,-0.492898327493935
"5715",0.901401879,3.91444e-07,1.917897334,0.234,0.075931158,-0.67168488198384
"5716",2.88768286205,1.5637e-07,3.18480105915,0.0842,0.443801314,0.194516830012646
"5717",0.95020373,3.60425e-07,1.786191771,0.396,0.489461724,-0.43713031649634
"5718",1.194284827,1.52177e-06,1.480953482,0.0175,-0.410023618,-0.0406812327397677
"5719",0.162759182,4.57051e-07,0.315351715,0.0338,-0.015494041,-0.0281642536954816
"5720",0.735777293,2.73139e-07,1.223241153,0.0329,0.045671902,-0.261207415485177
"5721",0.504585352,3.59447100000003e-06,0.765610755,-0.5659,-0.6135379153,-0.14733326161565
"5722",2.88768286205,7.73836e-07,3.18480105915,-0.0232,0.088402215,0.159835731732013
"5723",2.88768286205,6.30279e-07,3.18480105915,-0.0946,0.041924924,0.138398851595725
"5724",0.57813928,3.50157e-07,0.833592099,0.236,0.062839171,-0.0343639072359013
"5725",1.093179648,1.68712e-06,2.353961189,0.488,0.297246957,-0.759791160829912
"5726",0,6.231943e-10,0.015408864,-0.000495,0.001110317,0.0566353138192233
"5727",0,3.55752e-09,0.030213958,0.00531,-0.007131514,0.0437124152327099
"5728",0,1.44753e-09,0.017508781,0.000588,0.000426542,0.0549091463013016
"5729",0.307687514,5.74907e-08,0.464636516,0.0215,0.026858682,-0.0264302265568724
"5730",0,5.01175e-09,0.01078040565,0.000188,-0.000590074,0.0608275726948651
"5731",0.175286054,5.56221e-08,0.289284284,0.0144,-0.006424013,-0.00778630163392164
"5732",0,6.231943e-10,0.014335616,0.000113,0.00133675,0.0577140755789981
"5733",0,3.73136e-09,0.013878554,0.00082,0.000773376,0.058281477687932
"5734",0,1.5442e-09,0.021412106,0.00175,0.000402967,0.051639123847834
"5735",0,1.594e-09,0.0186844,0.000802,0.001308913,0.0539966074175408
"5736",0,3.21036e-09,0.020588488,1.2e-05,0.000160046,0.0521067323769855
"5737",0.315447892,3.02728e-08,0.470172147,0.0237,0.02394331,-0.0243941030338193
"5738",0.381621313,2.68167e-08,0.431559648,0.0328,0.007283049,0.0757773001220211
"5739",0.257199631,6.3583e-08,0.38462615,-0.0051,0.015771511,-0.011286295457588
"5740",0.017696213,1.42083e-08,0.101481498,0.0194,-0.02125267,-0.000616410763929111
"5741",0.14811014,8.7426e-10,0.156512226,0.00977,-0.014987205,0.0795190349481625
"5742",0,6.231943e-10,0.017399677,0.000261,0.001408958,0.0550253551334886
"5743",0,6.231943e-10,0.058067265,0.0048,0.000620642,0.0195934072959173
"5744",0,6.231943e-10,0.060262149,0.00895,-0.012048521,0.0170405057266744
"5745",0,6.231943e-10,0.088058818,-0.00479,0.061422958,-0.00240461145757673
"5746",0,6.231943e-10,0.023832034,0.00223,0.001452078,0.0496490236287387
"5747",0,6.231943e-10,0.047049312,0.00277,0.003276876,0.0293092605003903
"5748",0,6.231943e-10,0.018428506,0.00103,0.00055025,0.0541528977271847
"5749",0,6.231943e-10,0.024423062,0.00218,0.001089277,0.0490784382371576
"5750",0,6.231943e-10,0.076537627,0.00723,0.004287791,0.0039768319883951
"5751",0,3.5973e-09,0.025091303,0.00499,-0.002712788,0.0486633167870224
"5752",0,6.231943e-10,0.022636483,0.00263,-0.000244868,0.0506036343279957
"5753",0,6.231943e-10,0.046011879,-0.00863,-0.006151146,0.0273417329327834
"5754",0,6.231943e-10,0.021231187,0.000705,0.003209873,0.0518826621496011
"5755",0,1.77986e-09,0.014794119,0.000872,-0.000163998,0.0573177644544052
"5756",0.016301407,1.00021e-06,0.137677775,-0.00338,-0.00798867,-0.00478464228931551
"5757",0.175943063,9.63889e-09,0.365276131,-0.013,-0.018549387,-0.0819597483860177
"5758",0.214615209,7.9002e-07,0.399137772,0.0233,0.026260259,-0.0374371476733318
"5759",0.161032102,8.59704e-10,0.194867031,0.0229,-0.032010771,0.0588399048356956
"5760",0.69559782,1.27657e-07,0.922262257,0.0368,-0.024047345,-0.045309525212356
"5761",1.067453293,3.84645e-08,1.463988968,-0.0707,0.112883139,-0.161442733031695
"5762",0.049118326,1.51623e-07,0.098581747,0.0285,0.027293535,0.044341912439255
"5763",0.518296099,1.79162e-07,0.904722617,-0.197,-0.121665238,-0.254775167556978
"5764",1.317282295,7.83116e-09,2.005236913,0.0875,0.186035132,-0.359104138262525
