TAC,A1,A2,A3,A4,DA_ROA
-0.051638738,3.45E-07,0.0222,0.348008316,0.10199709,-0.040008692
0.078957536,1.29E-06,-0.0685,0.155028645,-0.022601985,0.102541625
-0.089059855,7.90E-07,0.0818,0.343524736,0.110184764,-0.081316501
-0.022332748,5.61E-07,0.00698,0.279344247,0.030042459,0.001451232
0.015758838,3.93E-08,-0.204,0.318288244,0.056212022,0.036585786
-0.017391275,4.42E-07,0.0176,0.512919429,0.062652358,0.018553441
-0.008147841,2.25E-07,0.218,0.236749123,0.08257605,0.000779148
-0.035309276,8.55E-08,0.0194,0.328741779,0.030212187,-0.005345711
-0.02366251,4.71E-08,0.0365,0.143564894,0.142341161,-0.039190904
-0.024360474,7.59E-07,0.0724,0.480997932,0.070966062,0.0057508
-0.097934287,7.91E-07,-0.00968,0.208805216,-0.133232588,-0.038038238
-0.079670575,1.01E-08,-0.048,0.425756985,-0.007055007,-0.031587808
-0.148571712,6.85E-07,0.151,0.009195376,-0.064853544,-0.122589434
-0.071252769,1.05E-07,0.0228,0.315780198,-0.019770448,-0.029229018
0.162354341,2.54E-08,-0.223,0.005901766,0.003983114,0.169841602
0.01716244,2.28E-07,0.0675,0.413235581,0.007290142,0.060297963
0.005372769,8.72E-08,-0.0129,0.313399779,0.013785521,0.038128959
-0.036673383,7.91E-07,-0.0707,0.26121716,-0.00774312,-0.005881974
-0.10795461,6.79E-08,0.00444,0.582261675,0.002139323,-0.048599257
-0.021585232,3.66E-07,0.0985,0.369143316,0.108210864,-0.009328881
-0.006960636,8.04E-08,-0.0132,0.131527509,0.017031686,0.009184653
-0.031330995,1.51E-08,0.000212,0.574238537,0.040780791,0.017271794
0.001626392,2.94E-08,0.0521,0.47547086,0.015888005,0.048552879
0.03232505,1.11E-07,0.314,0.004128013,0.047413833,0.031486503
-0.038021981,7.33E-09,-0.0227,0.359260567,0.020864099,-0.002917771
-0.052507285,1.28E-08,-0.00519,0.594880488,-0.011825397,0.01179028
-0.009284016,1.45E-09,-0.0202,0.538155147,0.0261558,0.039976127
-0.052124338,1.80E-08,0.0331,0.361689019,0.072392956,-0.03011722
-0.148435894,7.61E-08,0.0106,0.360780436,-0.05283102,-0.093723574
-0.001702935,1.36E-07,0.0893,0.206642118,0.015311292,0.021895938
0.031117577,1.21E-07,-0.0212,0.129201643,0.02376247,0.045065569
-0.095195751,4.32E-08,-0.0165,0.230287021,0.026521517,-0.072874694
-0.075425027,7.88E-08,-0.0106,0.240774833,0.052248807,-0.059106469
-0.045302071,7.19E-08,0.256,0.128143682,0.03444211,-0.032191249
-0.027674729,2.67E-08,-0.228,0.261521616,-0.026412663,0.009995897
-0.043914374,3.72E-08,0.00485,0.340011631,0.114370731,-0.035172578
-0.072125621,8.84E-08,-0.0308,0.313500955,0.026155618,-0.042763559
-0.117625221,1.23E-07,0.00634,0.125026516,0.032788663,-0.106249757
-0.108464569,1.14E-07,-0.104,0.355059313,-0.007361475,-0.067220425
-0.014726522,1.05E-08,-0.0731,0.481135226,0.005487694,0.034665151
0.135434277,4.98E-07,-0.156,0.518243538,0.023525408,0.18080015
0.272046036,5.12E-07,-0.50682,0.200681134,0.333376352,0.205357409
0.070367555,9.17E-09,0.151,0.189969879,0.132013479,0.062528768
