,TAC,A1,A2,A3,DA
1329,-0.031330995,1.51E-08,0.000212,0.574238537,0.014756596
1330,-0.038740026,3.37E-08,0.0303,0.483783387,-0.001765737
1331,-0.001641172,3.30E-08,0.0416,0.481152272,0.034618725
1332,-0.036100969,3.19E-08,-0.095,0.467047578,0.004745422
1333,-0.017782334,3.22E-08,-0.0724,0.532434561,0.027815449
1334,-0.001027483,3.06E-08,0.0856,0.503116063,0.035266288
1335,0.001626392,2.94E-08,0.0521,0.47547086,0.036927993
1336,0.047519047,1.72E-07,0.0722,0.006601383,0.041555812
1337,0.108804365,8.92E-08,0.0195,0.003365698,0.104477471
1338,0.009887163,1.75E-07,-0.123,0.006491773,0.012246073
1339,-0.00056956,1.73E-07,0.00396,0.006428394,-0.003635555
1340,0.004570736,1.20E-07,0.0557,0.004448045,-0.001084522
1341,0.03232505,1.11E-07,0.314,0.004128013,0.015595834
1342,-0.019985856,9.03E-09,0.0164,0.433544604,0.013093475
1343,-0.025235589,8.88E-09,0.0795,0.434753084,0.005258633
1344,-0.06534592,8.46E-09,-0.00631,0.404422896,-0.033845432
1345,-0.011832105,8.26E-09,-0.0194,0.39933315,0.019780887
1346,-0.006754161,8.08E-09,0.0794,0.391062413,0.0199233
1347,-0.038021981,7.33E-09,-0.0227,0.359260567,-0.009773661
1348,0.068566831,1.77E-08,0.137,0.692309463,0.119150933
1349,-0.046363154,1.32E-08,0.122,0.556347741,-0.007038301
1350,-0.075720791,1.40E-08,-0.0322,0.595982041,-0.026355657
1351,-0.040644205,1.44E-08,-0.0904,0.621517868,0.013435201
1352,-0.016523376,1.36E-08,0.188,0.607255473,0.024437639
1353,-0.052507285,1.28E-08,-0.00519,0.594880488,-0.004394472
1354,-0.043491984,1.48E-09,0.0751,0.61205132,0.002653569
1355,-0.055175866,1.50E-09,0.0779,0.597160703,-0.010450808
1356,-0.044887003,1.48E-09,-0.0429,0.578277128,0.00333789
1357,-0.095832706,1.50E-09,-0.078,0.576528962,-0.046264102
1358,-0.003485021,1.57E-09,0.234,0.582728791,0.033324275
1359,-0.009284016,1.45E-09,-0.0202,0.538155147,0.034466995
1360,0.044295049,2.73E-08,0.151,0.562344674,0.082963286
1361,0.130315865,2.42E-08,0.198,0.501119853,0.16161805
1362,-0.047706465,2.06E-08,0.108,0.40463556,-0.021012806
1363,-0.129975973,2.10E-08,-0.0433,0.385611793,-0.098492898
1364,0.125878603,2.25E-08,0.336,0.405258746,0.14291407
1365,-0.052124338,1.80E-08,0.0331,0.361689019,-0.026000376
1366,0.039553921,6.41E-08,0.0351,0.771486277,0.101584119
1367,-0.007020573,5.53E-08,0.0475,0.771486277,0.054446219
1368,-0.01820595,4.92E-08,-0.0991,0.771486277,0.049486618
1369,-0.01179059,4.24E-08,-0.046,0.216077083,0.005077814
1370,-0.000308854,7.73E-08,0.0887,0.375084984,0.024849236
1371,-0.148435894,7.61E-08,0.0106,0.360780436,-0.121203046
1372,0.020942513,1.85E-07,0.0352,0.312889865,0.043371305
