KEY,Code,Industry,YEAR,IndustryY,RPA,TMP,POST,MA,FOREIGN,LOSS,DIV,ANALYST,LEV,MB,LNAT,CAPINT,RDINT,ADVINT,DIV,Asset,Asset_1,Debt,Equity,S,S_1,RD,ADV,MV,NI_Ctd
13042019,1304,M1300,2019,2019M1300,1,0,0,0,1,0,1,3.044522438,0.467435191,0.420256535,18.04948717,0.806724215,0.006030972,0.029606411,,71425786,68991038,32248839,39176947,55656741,60892513,416083,2042577,16464368,2541226
13042020,1304,M1300,2020,2020M1300,1,1,1,0,1,0,1,4.875197323,0.400427837,0.551396454,18.08416951,0.70284523,0.005081652,0.028288831,,77324516,71425786,28600873,48723643,50201273,55656741,362961,2020552,26866044,5682637
13042021,1304,M1300,2021,2021M1300,1,0,1,1,1,0,1,4.762173935,0.377373872,0.674013825,18.16352162,0.927979194,0.00555878,0.04090969,,84825213,77324516,29180252,55644961,71755542,50201273,429830,3163322,37505473,10079451
13042022,1304,M1300,2022,2022M1300,1,0,1,0,1,1,1,4.394449155,0.316140485,0.515890453,18.25610338,0.783223757,0.005151688,0.040156221,,77741569,84825213,26816684,50924885,66437122,71755542,436993,3406260,26271662,-61189
13052017,1305,M1300,2017,2017M1300,0,0,0,0,1,0,1,5.393627546,0.336041579,1.943795081,16.40395008,1.104647634,0.003637918,0.06034321,,12673221,13308987,4472373,8200848,14701741,14157389,48417,803107,15940768,1341471
13052018,1305,M1300,2018,2018M1300,0,0,0,0,1,0,1,5.192956851,0.348213844,1.26530092,16.35500174,1.198797133,0.004204772,0.063018076,,13224095,12673221,4412991,8811104,15192621,14701741,53288,798642,11148698,1348653
13052019,1305,M1300,2019,2019M1300,0,0,0,0,1,0,1,5.393627546,0.273641939,1.258206021,16.3975511,1.143205263,0.004534677,0.064373706,,12331233,13224095,3618667,8712566,15117855,15192621,59967,851284,10962203,693815
13052020,1305,M1300,2020,2020M1300,0,0,0,0,1,0,1,5.327876169,0.291119874,1.366835867,16.32764587,1.113688145,0.005577382,0.070920726,,13893625,12331233,3589867,10303758,13733148,15117855,68776,874540,14083546,1791710
13052021,1305,M1300,2021,2021M1300,0,0,0,0,1,0,1,5.411646052,0.369957157,1.703589078,16.44694066,1.455453418,0.005554562,0.097412734,,16975315,13893625,5140046,11835269,20221524,13733148,77173,1353416,20162435,2631418
13052022,1305,M1300,2022,2022M1300,0,0,0,0,1,1,1,5.293304825,0.391306494,1.527673707,16.64727079,1.039007465,0.00426967,0.074171584,,16683779,16975315,6642551,10041228,17637479,20221524,72479,1259086,15339720,-337717
13072017,1307,M1300,2017,2017M1300,0,0,0,1,1,0,1,3.970291914,0.395367531,1.609126157,16.53839926,0.647346399,0.028400832,0.04237769,,14400134,15224237,6019169,8380965,9855355,11045717,432381,645168,13486030,901060
13072018,1307,M1300,2018,2018M1300,0,0,0,0,1,0,1,3.433987204,0.437884467,1.152307891,16.48274807,0.659178588,0.028685775,0.043272583,,14522208,14400134,6305595,8216613,9492260,9855355,413079,623131,9468068,302933
13072019,1307,M1300,2019,2019M1300,0,0,0,0,1,0,1,2.944438979,0.473205314,1.138467961,16.49118962,0.707289897,0.030859908,0.044219584,,15136071,14522208,6871986,8264085,10271411,9492260,448154,642166,9408396,430420
13072020,1307,M1300,2020,2020M1300,0,0,0,0,1,0,1,2.302585093,0.493375262,1.144472729,16.53259126,0.557724392,0.020438924,0.033660056,,15340889,15136071,7467763,7873126,8441756,10271411,309365,509481,9010578,218012
13072021,1307,M1300,2021,2021M1300,0,0,0,0,1,0,1,0,0.462102099,1.084098805,16.54603231,0.546513765,0.019196736,0.028177637,,14740117,15340889,7089057,7651060,8384007,8441756,294495,432270,8294505,115933
13072022,1307,M1300,2022,2022M1300,0,0,0,0,1,0,1,0,0.469314592,0.961445707,16.50608338,0.730218017,0.020445903,0.035633096,,15400050,14740117,6917752,8482298,10763499,8384007,301375,525236,8155269,470114
13082017,1308,M1300,2017,2017M1300,0,0,0,0,1,0,1,4.060443011,0.344888957,1.018655382,16.50131713,0.436568121,0.000424403,0.007338499,,14876001,14670029,5059531,9816470,6404467,5893335,6226,107656,9999600,565354
13082018,1308,M1300,2018,2018M1300,0,0,0,0,1,0,1,2.197224577,0.402884283,0.756151012,16.5152598,0.428551598,0.000338263,0.006824549,,15597743,14876001,5993307,9604436,6375134,6404467,5032,101522,7262404,286826
13082019,1308,M1300,2019,2019M1300,0,0,0,0,1,0,1,4.007333185,0.429117918,0.856245369,16.56263678,0.435393569,0.000328637,0.007153214,,16923091,15597743,6693271,10229820,6791157,6375134,5126,111574,8759236,821021
13082020,1308,M1300,2020,2020M1300,0,0,0,0,1,0,1,4.204692619,0.282097284,1.033496469,16.64418958,0.337027438,0.00032045,0.005303582,,16883503,16923091,4773958,12109545,5703546,6791157,5423,89753,12515172,1103587
13082021,1308,M1300,2021,2021M1300,0,0,0,0,1,0,1,4.48863637,0.208280059,1.407360758,16.64184755,0.566577505,0.000364498,0.008957916,,18978546,16883503,3516497,15462049,9565813,5703546,6154,151241,21760681,3101127
13082022,1308,M1300,2022,2022M1300,0,0,0,0,1,0,1,4.262679877,0.114503556,1.177716991,16.75881974,0.517180399,0.000340806,0.007989969,,16390069,18978546,2173111,14216958,9815332,9565813,6468,151638,16743553,1447369
13092017,1309,M1300,2017,2017M1300,0,0,0,0,1,0,0,3.761200116,0.578741202,1.275184033,15.95284594,2.338263877,0.002511673,0.061815162,,8811435,8476820,4905885,3905550,19821042,16419055,21291,523996,4980295,502079
13092018,1309,M1300,2018,2018M1300,0,0,0,0,1,0,0,3.931825633,0.537436751,0.817494778,15.99156087,2.460859327,0.002618983,0.061732964,,8727546,8811435,4735589,3991957,21683702,19821042,23077,543956,3263404,207973
13092019,1309,M1300,2019,2019M1300,0,0,0,0,1,0,1,3.583518938,0.424515437,0.88607814,15.98199479,2.024876638,0.002869993,0.059969778,,8004741,8727546,3704978,4299763,17672204,21683702,25048,523389,3809926,397977
13092020,1309,M1300,2020,2020M1300,0,0,0,0,1,0,1,4.219507705,0.361044036,2.109535282,15.89554455,1.936150214,0.002563856,0.064220691,,9245870,8004741,2890064,6355806,15498381,17672204,20523,514070,13407797,1919818
13092021,1309,M1300,2021,2021M1300,0,0,0,0,1,0,1,4.290459441,0.33342952,1.707493514,16.03968752,2.246534399,0.002005869,0.103096085,,10744659,9245870,3082846,7661813,20771165,15498381,18546,953213,13082496,1849932
13092022,1309,M1300,2022,2022M1300,0,0,0,0,1,0,1,3.218875825,0.189364967,1.235867544,16.18991935,1.683050062,0.00142508,0.124043769,,9240876,10744659,2034662,7206214,18083799,20771165,15312,1332808,8905926,412078
13102017,1310,M1300,2017,2017M1300,0,0,0,0,1,0,1,3.496507561,0.284399301,1.582436794,16.28257175,1.251368666,0.002521854,0.003977433,,10924691,11787754,3352429,7572262,14750826,14073472,29727,46885,11982626,984593
13102018,1310,M1300,2018,2018M1300,0,0,0,0,1,0,1,4.17438727,0.25562572,1.538993891,16.20653601,1.408063075,0.003330987,0.005508623,,10510046,10924691,2792632,7717414,15382654,14750826,36390,60180,11877053,1186794
13102019,1310,M1300,2019,2019M1300,0,0,0,0,1,0,1,4.290459441,0.197437956,1.526084551,16.16784212,1.162638965,0.001980962,0.005568196,,9304342,10510046,2075082,7229260,12219389,15382654,20820,58522,11032462,881756
13102020,1310,M1300,2020,2020M1300,0,0,0,0,1,0,1,4.17438727,0.166443151,1.333158666,16.04599173,0.871982672,0.000689463,0.006843687,,9012370,9304342,1548644,7463726,8113225,12219389,6415,63676,9950331,289723
13102021,1310,M1300,2021,2021M1300,0,0,0,0,1,0,1,3.218875825,0.213935291,1.246067561,16.01410864,1.29977087,0.000256425,0.007211089,,9299190,9012370,1928064,7371126,11714016,8113225,2311,64989,9184921,105239
13102022,1310,M1300,2022,2022M1300,0,0,0,0,1,1,1,2.197224577,0.235547612,1.060096878,16.04543786,1.382266628,0.000250237,0.007628084,,8912648,9299190,2190402,6722246,12853960,11714016,2327,70935,7126232,-332128
13122017,1312,M1300,2017,2017M1300,0,0,0,0,1,0,1,4.812184355,0.180597574,1.214150966,17.03458828,0.933850037,0.001689739,0.011351388,,27999915,25005048,4515851,23484064,23350965,19918739,42252,283842,28513199,3447650
13122018,1312,M1300,2018,2018M1300,0,0,0,0,1,0,1,4.86753445,0.15139071,0.773180871,17.14771203,0.883614754,0.00139054,0.010817533,,29859901,27999915,4238927,25620974,24741138,23350965,38935,302890,19809647,3150741
13122019,1312,M1300,2019,2019M1300,0,0,0,1,1,0,1,5.093750201,0.14247636,0.61923782,17.21202703,0.685475447,0.001104089,0.01019146,,31486407,29859901,4254330,27232077,20468229,24741138,32968,304316,16863132,2176211
13122020,1312,M1300,2020,2020M1300,0,0,0,0,1,0,1,4.912654886,0.165215136,0.691902051,17.26506649,0.526442538,0.000947298,0.009896207,,36322368,31486407,5202031,31120337,16575784,20468229,29827,311596,21532225,4320555
13122021,1312,M1300,2021,2021M1300,0,0,0,0,1,0,1,4.812184355,0.266569597,0.663258625,17.40794431,0.620756692,0.001065514,0.011714352,,48912979,36322368,9682439,39230540,22547353,16575784,38702,425493,26019994,6076588
13122022,1312,M1300,2022,2022M1300,0,0,0,0,1,1,1,3.850147602,0.496058602,0.4732985,17.70555334,0.37161151,0.000697892,0.007479181,,60371545,48912979,24263704,36107841,18176626,22547353,34136,365829,17089787,-454388
13132017,1313,M1300,2017,2017M1300,1,0,0,0,1,0,1,4.521788577,0.652394807,1.060561122,17.4100331,1.390177601,0,0.025524779,,45009979,36398317,23746073,21263906,50600125,42392012,0,929059,22551672,2342413
13132018,1313,M1300,2018,2018M1300,1,0,0,0,1,0,1,4.204692619,0.577556057,0.759049063,17.62239478,1.360998147,0,0.029276752,,45769849,45009979,25995786,19774063,61258498,50600125,0,1317746,15009484,753610
13132019,1313,M1300,2019,2019M1300,1,1,1,0,1,1,1,2.833213344,0.537150144,0.718902205,17.63913611,1.370223922,0,0.033003168,,45156997,45769849,24585281,20571716,62714942,61258498,0,1510550,14789052,-140376
13132020,1313,M1300,2020,2020M1300,1,1,1,0,1,0,1,3.663561646,0.426200529,1.02509992,17.6256558,1.148589199,0,0.029728372,,44200637,45156997,19245936,24954701,51866839,62714942,0,1342444,25581062,2134320
13132021,1313,M1300,2021,2021M1300,1,0,1,0,1,0,1,4.110873864,0.540153007,0.973808981,17.60424976,1.853874368,0,0.03641305,,53771844,44200637,23875107,29896737,81942428,51866839,0,1609480,29113711,2147462
13132022,1313,M1300,2022,2022M1300,1,1,1,0,1,1,1,0,0.454814605,0.70602499,17.80026054,1.354233695,0,0.030779398,,50562422,53771844,24456220,26106202,72819643,81942428,0,1655065,18431631,-1236224
13142017,1314,M1300,2017,2017M1300,0,0,0,0,1,0,0,4.663439094,0.249564252,0.662571159,18.15221636,0.436019285,0.003091324,0.008210631,,81628960,76455265,19080501,62548459,33335970,25376683,236348,627746,41442805,6087322
13142018,1314,M1300,2018,2018M1300,0,0,0,0,1,0,0,4.682131227,0.275811428,0.439992592,18.21769466,0.471684571,0.004109277,0.009733286,,89704954,81628960,22514200,67190754,38503121,33335970,335436,794518,29563434,4280995
13142019,1314,M1300,2019,2019M1300,0,0,0,1,1,0,1,4.48863637,0.32634347,0.413453377,18.31203655,0.33023922,0.004477512,0.008346139,,96468490,89704954,29274626,67193864,29624094,38503121,401655,748690,27781530,1733635
13142020,1314,M1300,2020,2020M1300,0,0,0,1,1,0,1,3.610917913,0.35288164,0.539996702,18.38472698,0.182267723,0.004584699,0.006259629,,104909990,96468490,34041959,70868031,17583092,29624094,442279,603857,38268503,674660
13142021,1314,M1300,2021,2021M1300,0,0,0,0,1,0,0,3.135494216,0.523561083,0.619698365,18.4686133,0.33517666,0.004403422,0.008590078,,135241310,104909990,54926788,80314522,35163380,17583092,461963,901185,49770778,3484655
13142022,1314,M1300,2022,2022M1300,0,0,0,0,1,0,1,2.302585093,0.455516735,0.470260833,18.72257122,0.185060282,0.003046007,0.009012579,,141122929,135241310,61604680,79518249,25027795,35163380,411946,1218873,37394318,205397
13152017,1315,M1300,2017,2017M1300,0,0,0,0,1,0,1,0,0.230323038,0.691069796,16.07380368,0.277493204,0,0.013099857,,9538157,9566746,2203442,7334715,2654707,2887924,0,125323,5068800,168251
