代號,名稱,Year,Industry,Key,RPA_Ctd,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,Asset,Price,eps2,eps1,dvps1
1217,愛之味,2019,M1200,12172019,0,0,0,0,0,0,494513,6439266,12895986,7.16,0.01,-0.1,0
1217,愛之味,2018,M1200,12172018,0,0,0,0,0,0,494513,6271960,12584818,6.7,-0.1,-0.11,0
1217,愛之味,2017,M1200,12172017,0,0,0,0,0,0,494513,6123799,12242288,7.36,-0.11,-0.35,0
1218,泰山,2022,M1200,12182022,0,0,0,0,0,0,499999,12567859,16654604,27.53,-0.59,1.19,1.005312
1218,泰山,2021,M1200,12182021,0,0,0,0,0,0,499999,6991127,10638276,29.88,1.19,1.71,1.406475
1218,泰山,2020,M1200,12182020,0,0,0,0,0,0,499999,7031602,9240265,26.6,1.71,1.17,0.904527
1218,泰山,2019,M1200,12182019,0,0,0,0,0,0,499999,6605173,9229347,20.87,1.17,0.94,0.809528
1218,泰山,2018,M1200,12182018,0,0,0,0,0,0,499999,6402709,8807002,17.13,0.94,0.78,0.49218
1218,泰山,2017,M1200,12182017,0,0,0,0,0,0,499999,3821989,7482013,15.29,0.78,0.32,0
1219,福壽,2022,M1200,12192022,0,0,0,0,0,0,322014,4433806,10275495,20.38,1.01,1.05,1.1508
1219,福壽,2021,M1200,12192021,0,0,0,0,0,0,322014,4474177,9150195,18.52,1.05,1.03,0.538484
1219,福壽,2020,M1200,12192020,0,0,0,0,0,0,322014,4443414,8550063,20.58,1.03,0.19,0.120498
1219,福壽,2019,M1200,12192019,0,0,0,0,0,0,322014,3959290,8937571,17.96,0.19,-0.03,0.085998
1219,福壽,2018,M1200,12192018,0,0,0,0,0,0,322014,3816632,8515527,15.1,-0.03,0.39,0.267735
1219,福壽,2017,M1200,12192017,0,0,0,0,0,0,322014,3947659,8461787,15.31,0.39,0.48,0.294288
1220,台榮,2022,M1200,12202022,0,0,0,0,0,0,177078,2434031,3202925,14.65,0.26,0.92,0.915676
1220,台榮,2021,M1200,12202021,0,0,0,0,0,0,177078,2593610,3291690,14.64,0.92,0.97,0.949921
1220,台榮,2020,M1200,12202020,0,0,0,0,0,0,177078,2548594,3101296,14.51,0.97,0.79,0.667471
1220,台榮,2019,M1200,12202019,0,0,0,0,0,0,177078,2478489,3149822,9.27,0.79,0.51,0.444822
1220,台榮,2018,M1200,12202018,0,0,0,0,0,0,177078,2420348,3106563,8.89,0.51,0.42,0.384636
1220,台榮,2017,M1200,12202017,0,0,0,0,0,0,177078,2386159,3027503,9.48,0.42,0.65,0.454025
1225,福懋油,2022,M1200,12252022,0,0,0,0,0,0,218703,3852374,9441163,52,1.69,2.07,1.598661
1225,福懋油,2021,M1200,12252021,0,0,0,0,0,0,218703,3872444,9109168,44.73,2.07,1.72,1.401456
1225,福懋油,2020,M1200,12252020,0,0,0,0,0,0,218703,3733141,7693394,39.73,1.72,1.55,1.299985
1225,福懋油,2019,M1200,12252019,0,0,0,0,0,0,218703,3648429,7741017,31.7,1.55,1.17,1.151163
1225,福懋油,2018,M1200,12252018,0,0,0,0,0,0,218703,3601285,6426121,61.56,1.17,1.13,1.251362
1225,福懋油,2017,M1200,12252017,0,0,0,0,0,0,218703,3637558,7017020,68.64,1.13,1.76,1.249072
1227,佳格,2022,M1200,12272022,0,0,0,0,0,0,915090,17853740,27929413,40.24,1.42,2.77,1.960329
1227,佳格,2021,M1200,12272021,0,0,0,0,0,0,915090,18477217,28289140,43.13,2.77,3.54,2.520834
1227,佳格,2020,M1200,12272020,0,0,0,0,0,0,915090,18015627,27823862,47.84,3.54,3.8,2.69762
1227,佳格,2019,M1200,12272019,0,0,0,0,0,0,915090,16950691,25488265,53.52,3.8,2.84,2.202988
1227,佳格,2018,M1200,12272018,0,0,0,0,0,0,915090,16040325,23997656,49.47,2.84,2.47,2.080234
1227,佳格,2017,M1200,12272017,0,0,0,0,0,0,915090,15023608,22709488,48.62,2.47,2.97,1.604097
1229,聯華,2022,M1200,12292022,0,0,0,0,0,0,1480130,53432123,69909548,62.17,2.63,2.92,1.81186
1229,聯華,2021,M1200,12292021,0,0,0,0,0,0,1409648,56423056,71670249,49,2.92,2.43,1.70829
1229,聯華,2020,M1200,12292020,0,0,0,0,0,0,1281498,44450094,55988518,38.61,2.43,2.03,1.296967
1229,聯華,2019,M1200,12292019,0,0,0,0,0,0,1104740,37630191,46544943,26.45,2.03,2.35,1.59753
1229,聯華,2018,M1200,12292018,0,0,0,0,0,0,1052133,24620602,30389304,21.18,2.35,2.88,1.667232
1229,聯華,2017,M1200,12292017,0,0,0,0,0,0,956485,25285915,29653231,18.58,2.88,2.53,1.711798
1231,聯華食,2022,M1200,12312022,0,0,0,0,0,0,224233,5171248,10518025,84.44,4.28,3.86,1.435148
1231,聯華食,2021,M1200,12312021,0,0,0,0,0,0,201762,4568168,9208709,70.09,3.86,3.33,1.426239
1231,聯華食,2020,M1200,12312020,0,0,0,0,0,0,183325,4065573,8822575,45.37,3.33,3.04,1.62184
1231,聯華食,2019,M1200,12312019,0,0,0,0,0,0,174595,3654089,7466043,28.31,3.04,3.32,1.8343
1231,聯華食,2018,M1200,12312018,0,0,0,0,0,0,166281,3437917,7003241,27.59,3.32,2.37,1.306344
1231,聯華食,2017,M1200,12312017,0,0,0,0,0,0,159886,3127240,6483870,20.34,2.37,2.71,1.544971
1232,大統益,2022,M1200,12322022,0,0,0,0,0,0,159975,5271072,7393401,146.5,6.97,7.54,5.82842
1232,大統益,2021,M1200,12322021,0,0,0,0,0,0,159975,4957653,7003498,145.52,7.54,8.06,5.98858
1232,大統益,2020,M1200,12322020,0,0,0,0,0,0,159975,4641004,6348688,147.02,8.06,6.1,5.00627
1232,大統益,2019,M1200,12322019,0,0,0,0,0,0,159975,4131485,5807485,104.42,6.1,5.47,4.82454
1232,大統益,2018,M1200,12322018,0,0,0,0,0,0,159975,3942280,5470902,106.58,5.47,5.4,5.28552
1232,大統益,2017,M1200,12322017,0,0,0,0,0,0,159975,3825227,5452648,73.77,5.4,5.67,5.084289
1233,天仁,2022,M1200,12332022,0,0,0,0,0,0,90592,1489549,2353960,37.54,0.57,0.19,0.275386
1233,天仁,2021,M1200,12332021,0,0,0,0,0,0,90592,1460261,2309476,32.17,0.19,0.65,0.619255
1233,天仁,2020,M1200,12332020,0,0,0,0,0,0,90592,1504274,2433516,32.69,0.65,1.72,1.592204
1233,天仁,2019,M1200,12332019,0,0,0,0,0,0,90592,1616797,2490105,32.62,1.72,1.93,1.903559
1233,天仁,2018,M1200,12332018,0,0,0,0,0,0,90592,1607108,2169779,33.26,1.93,1.94,2.254086
1233,天仁,2017,M1200,12332017,0,0,0,0,0,0,90592,1501952,2072683,31.46,1.94,1.87,1.504789
1234,黑松,2022,M1200,12342022,0,0,0,0,0,0,401871,18345327,22759247,39.43,2.2,1.98,1.697652
1234,黑松,2021,M1200,12342021,0,0,0,0,0,0,401871,18143912,22788396,31.63,1.98,2.21,1.795846
1234,黑松,2020,M1200,12342020,0,0,0,0,0,0,401871,18068635,22211391,30.72,2.21,2.1,1.69491
1234,黑松,2019,M1200,12342019,0,0,0,0,0,0,401871,17882266,22642968,27.05,2.1,1.73,1.597482
1234,黑松,2018,M1200,12342018,0,0,0,0,0,0,401871,17628091,22967481,25.64,1.73,1.32,1.464408
