KEY,Code,Industry,YEAR,RPA,TMP,POST,Asset,Asset_1,Debt,Equity,CA,CL,SLTD,PPE,Cash,S,S_1,S_2,OPCOST,EXP,RD,ADV,RE,EBIT,OCF,NI_Ctd,CYCLE,CYCLE_1,MV,COGS,INV,INV_1,INST_1,BIG4
14692017,1469,M1400,2017,0,0,0,2624062,2591731,896313,1727749,1341084,875686,841000,1263354,180522,282768,359068,415582,289689,45356,0,15320,-314103,-71847,-594154,-81368,246.15,256.3,1788010,289689,150217,264078,0.4955,#N/A
14702017,1470,M1400,2017,0,0,0,1120348,1076698,174412,945936,682335,167307,29000,351868,37803,701061,685778,761731,550707,112926,0,72867,103993,49101,98950,41834,121.56,152.21,1522364,550707,128572,133488,0.3104,1
14702018,1470,M1400,2018,0,0,0,1134243,1120348,197200,937043,683751,191095,45000,435320,97130,754462,701061,685778,586400,115544,0,76926,109605,61781,106069,48867,109.74,121.56,1500923,586400,146358,128572,0.3089,1
14702019,1470,M1400,2019,0,0,0,1180196,1134243,192952,987244,730050,182666,40000,431963,124735,818166,754462,701061,603760,128236,0,84814,141358,94352,93946,75861,116.16,109.74,1783954,603760,156838,146358,0.3399,1
14702020,1470,M1400,2020,0,0,0,1173413,1180196,207273,966140,695411,198127,35000,453314,101137,630757,818166,754462,517086,95568,0,61944,115527,41383,76386,35414,149.91,116.16,1552383,517086,161774,156838,0.3396,1
14702021,1470,M1400,2021,0,0,0,1254881,1173413,248931,1005950,799769,244309,35000,421894,138983,894789,630757,818166,703668,112651,0,78820,144847,79228,43834,65201,116.97,149.91,1522364,703668,259064,161774,0.3418,1
14702022,1470,M1400,2022,0,0,0,1144833,1254881,171849,972984,702235,166158,35000,400331,193619,845152,894789,630757,670834,105941,0,75166,111361,50558,189179,32843,125.74,116.97,1560959,670834,193998,259064,0.3396,1
14712017,1471,M2328,2017,0,0,0,2209715,2423456,871472,1338243,1230442,865782,357295,570537,375878,1270463,1187138,1740516,1343555,275849,31163,33419,-254945,-449676,-226106,-470289,71.46,59.56,1032335,1343555,105548,133819,0.171,1
14712018,1471,M2328,2018,0,0,0,1689116,2209715,684200,1004916,758775,677349,346771,499391,204101,1282302,1270463,1187138,1366653,248094,20284,39214,-575087,-317383,-223229,-324466,83.46,71.46,773128,1366653,81559,105548,0.1566,1
14712019,1471,M2328,2019,0,0,0,1265874,1689116,617116,648758,565939,580555,350656,413770,169679,930189,1282302,1270463,988993,257593,16686,46851,-930898,-349241,-160381,-356539,89.7,83.46,397093,988993,72201,81559,0.0868,1
14712020,1471,M2328,2020,0,0,0,1595001,1265874,551634,1043367,1152989,536061,109540,223014,698628,1085366,930189,1282302,976899,213631,9724,25899,-534665,428675,-65328,396093,45.24,89.7,890451,976899,99150,72201,0.0906,1
14712021,1471,M2328,2021,0,0,0,1188370,1595001,162066,1026304,791140,158159,70000,82104,528907,355816,1085366,930189,348022,148935,11064,29480,-552318,-17007,-126379,-18538,142.77,45.24,1340189,348022,129650,99150,0.0952,1
14712022,1471,M2328,2022,0,0,0,1736576,1188370,151065,1585511,1393002,105994,0,44169,274885,237989,355816,1085366,240544,150156,10279,31269,-706336,-156094,1445,-157299,171.94,142.77,1150667,240544,68203,129650,0.0661,1
14722017,1472,M2500,2017,0,0,0,941607,975777,569259,372348,406130,532959,325904,501724,131539,756930,798416,752040,733307,71705,6740,33760,-46163,-38477,-43442,-45948,37.73,42.23,1809293,733307,91201,82278,0.0968,1
14722018,1472,M2500,2018,0,0,0,855934,941607,544632,311302,311763,510858,426283,495166,91061,599246,756930,798416,596228,68284,2950,24385,-113674,-62525,-2688,-67956,46.09,37.73,1320698,596228,60991,91201,0.1826,1
14722019,1472,M2500,2019,0,0,0,1490441,855934,1018881,471560,857410,696419,817587,420652,124570,452953,599246,756930,414154,177520,3087,105323,-58309,83891,-237324,55457,70.42,46.09,1257220,414154,129771,60991,0.167,1
14722020,1472,M2500,2020,0,0,0,1794920,1490441,1534292,260628,764176,997467,860799,304996,192247,329104,452953,599246,315842,206559,2004,129917,-610647,-412073,-43251,-425124,54.63,70.42,946572,315842,26334,129771,0.3066,1
14722021,1472,M2500,2021,0,0,0,2425319,1794920,1656157,769162,1031061,1126296,1233658,101089,283190,601943,329104,452953,476721,114935,0,14,-27491,10536,-98479,-5557,-18.2,54.63,812110,476721,0,26334,0.1758,1
14722022,1472,M2500,2022,0,0,0,2761080,2425319,1984316,776764,1409785,1236585,1084970,100512,253649,1169012,601943,329104,1060821,115121,0,0,-23774,14336,165390,3283,-30.98,-18.2,559731,1060821,0,0,0.5791,1
14732017,1473,M1400,2017,1,0,0,6237557,6860286,2314288,3923269,3968068,1624605,1030684,1231447,969929,8328546,9332517,9563973,7281885,1031850,105474,339466,1538803,120761,668467,48932,85.96,87.74,3509599,7281885,1054486,988323,0.6435,1
14732018,1473,M1400,2018,1,0,0,6085772,6237557,2214796,3870976,3364007,2030558,1233012,1172189,570874,8326359,8328546,9332517,7258757,1062309,100530,378075,1549564,155797,-53650,64933,87.27,85.96,2560462,7258757,934728,1054486,0.6382,1
14732019,1473,M1400,2019,1,0,0,5830840,6085772,2014447,3816393,3130380,1787406,974252,1176287,524785,7660848,8326359,8328546,6594956,991402,89986,266149,1553531,108948,385317,80788,96.72,87.27,3627321,6594956,1038589,934728,0.6237,1
14732020,1473,M1400,2020,1,0,0,5038874,5830840,1758875,3279999,2926757,1517467,769832,1098836,868736,5970540,7660848,8326359,5299588,998945,77373,269739,1119289,-356563,168959,-355198,107.59,96.72,2803265,5299588,779516,1038589,0.6304,1
14732021,1473,M1400,2021,1,1,1,5213244,5038874,2159490,3053754,3282834,1947770,1125157,1040175,681095,5761476,5970540,7660848,4985268,932838,73251,319250,971561,-114219,-516641,-135104,116.51,107.59,2663469,4985268,1216865,779516,0.7291,1
