CompanyCode,CompanyName,ReportReason,Industry,AssuranceType,ReportURL,ReleaseDate,RPA_Count
2014,中鴻,5.股本達新臺幣五十億元以上者,鋼鐵工業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2014_109.pdf,110/06/28,0
2015,豐興,5.股本達新臺幣五十億元以上者,鋼鐵工業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2015_109.pdf,110/06/30,0
2017,官田鋼,6.係自願編製與申報,鋼鐵工業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2017_109.pdf,110/07/20,0
2023,燁輝,5.股本達新臺幣五十億元以上者,鋼鐵工業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2023_109.pdf,110/06/21,0
2027,大成鋼,5.股本達新臺幣五十億元以上者,鋼鐵工業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2027_109.pdf,110/06/22,0
2031,新光鋼,6.係自願編製與申報,鋼鐵工業,會計師事務所：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2031_109.pdf,110/08/26,0
2049,上銀,6.係自願編製與申報,電機機械,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2049_109.pdf,110/06/30,0
2059,川湖,6.係自願編製與申報,電子零組件業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2059_109.pdf,110/08/13,0
2062,橋椿,6.係自願編製與申報,居家生活,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2062_109.pdf,110/09/30,0
2101,南港,5.股本達新臺幣五十億元以上者,橡膠工業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2101_109.pdf,110/06/30,0
2102,泰豐,6.係自願編製與申報,橡膠工業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2102_109.pdf,110/09/30,0
2103,台橡,5.股本達新臺幣五十億元以上者,橡膠工業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2103_109.pdf,110/06/22,0
2104,國際中橡,5.股本達新臺幣五十億元以上者,橡膠工業,會計師事務所：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2104_109.pdf,110/08/02,0
2105,正新,5.股本達新臺幣五十億元以上者,橡膠工業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2105_109.pdf,110/06/22,0
2106,建大,5.股本達新臺幣五十億元以上者,橡膠工業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2106_109.pdf,110/06/15,0
2108,南帝,6.係自願編製與申報,橡膠工業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2108_109.pdf,110/09/29,0
