Test,代號,名稱,FY,Page
,6214,精誠,110,12
,6216,居易,110,37
,6218,豪勉,108,59
,6218,豪勉,110,66
,6218,豪勉,110,67
,6220,岳豐,107,56
,6221,晉泰,107,77
,6221,晉泰,108,83
,6263,普萊德,109,38
,6263,普萊德,109,116
,6277,宏正,110,5
,6446,藥華藥,111,70
,6613,朋億,109,68
,6689,伊雲谷,111,72
,6689,伊雲谷,109,59
,6689,伊雲谷,110,70
,6697,東捷資訊,107,6
,6811,宏碁資訊,111,75
,6811,宏碁資訊,111,76
,6874,倍力,110,58
,6874,倍力,111,69
,6916,華凌,111,76
,6916,華凌,111,78
,8028,昇陽半導體,111,42
,8077,洛碁,109,9
,8077,洛碁,109,63
,8077,洛碁,110,9
,8077,洛碁,110,63
,8077,洛碁,111,8
,8077,洛碁,111,65
,8099,大世科,108,87
,8099,大世科,108,104
,8099,大世科,109,7
,8099,大世科,111,7
,8099,大世科,111,11
,8099,大世科,111,78
,8099,大世科,110,7
,8099,大世科,110,78
,8103,瀚荃,111,11
,8103,瀚荃,111,96
,8103,瀚荃,110,11
,8103,瀚荃,110,97
,8234,新漢,109,5
,8234,新漢,109,64
,8234,新漢,110,6
,8234,新漢,110,77
,8234,新漢,110,83
,8234,新漢,111,6
,8234,新漢,111,84
,8234,新漢,111,89
,8411,福貞-KY,110,49
,8411,福貞-KY,110,103
,8916,光隆,110,128
,8916,光隆,111,5
,8916,光隆,111,126
,8916,光隆,111,127
,9904,寶成,110,8
,9904,寶成,111,8
,9933,中鼎,110,6
,9933,中鼎,110,109
,9933,中鼎,111,7
,9933,中鼎,111,105
,9933,中鼎,111,107
,2890,永豐金,108,71
,6204,艾華,108,71
,6669,緯穎,110,6
,3045,台灣大,107,33
