代號,名稱,Year,Industry,Key,RPA,RPA_Ctd,LN_RPA_Count,RPA_Count,Finance,KY,BM,ABSDA,DA,LGTA,LEV,OCF,MTB
1210,大成,2020,M1200,12102020,0,0,0,0,0,0,0.67453593,0.017537783,-0.017537783,17.76083363,0.460531744,0.125140628,1.482500717
1210,大成,2019,M1200,12102019,0,0,0,0,0,0,0.868051651,0.024011907,-0.024011907,17.67203643,0.485747569,0.113828226,1.152005182
1210,大成,2018,M1200,12102018,0,0,0,0,0,0,0.970522601,0.043307052,0.043307052,17.56563282,0.477437658,0.044831524,1.030372707
1210,大成,2017,M1200,12102017,0,0,0,0,0,0,1.119084538,0.015888663,-0.015888663,17.52291368,0.46689369,0.10872605,0.893587541
1213,大飲,2022,M1200,12132022,0,0,0,0,0,0,1.001849989,0.031196592,-0.031196592,13.87225377,0.654289936,0.00925562,0.998153427
1213,大飲,2021,M1200,12132021,0,0,0,0,0,0,1.035986977,0.015794826,-0.015794826,13.93138244,0.606613338,-0.024621232,0.965263099
1213,大飲,2020,M1200,12132020,0,0,0,0,0,0,1.066294647,0.031566402,0.031566402,14.04287001,0.572887664,-0.003012075,0.937827084
1213,大飲,2019,M1200,12132019,0,0,0,0,0,0,1.658357322,0.068630471,0.068630471,14.05137446,0.554971477,-0.053273218,0.603006353
6689,伊雲谷,2020,M2331,66892020,1,1,0.693147181,1,0,0,#N/A,0.04689594,0.04689594,15.05528265,0.531120815,-0.007735845,#N/A
1213,大飲,2017,M1200,12132017,0,0,0,0,0,0,0.8362098,0.094828931,0.094828931,13.67032986,0.195220994,-0.053697336,1.195872136
1215,卜蜂,2022,M1200,12152022,0,0,0,0,0,0,0.354731876,0.047249765,0.047249765,17.08863761,0.64052983,0.053138272,2.819030563
1215,卜蜂,2021,M1200,12152021,0,0,0,0,0,0,0.469259999,0.074434932,0.074434932,16.95869133,0.629251758,0.030170547,2.131014794
1215,卜蜂,2020,M1200,12152020,0,0,0,0,0,0,0.478682854,0.00703662,0.00703662,16.78829908,0.553190931,0.122357684,2.089065843
1215,卜蜂,2019,M1200,12152019,0,0,0,0,0,0,0.589693299,0.03689817,0.03689817,16.74137606,0.537435549,0.105108797,1.695796784
1215,卜蜂,2018,M1200,12152018,0,0,0,0,0,0,0.540912748,0.04134935,0.04134935,16.57489777,0.540430042,0.063038104,1.848726997
1215,卜蜂,2017,M1200,12152017,0,0,0,0,0,0,0.628918241,0.024539696,0.024539696,16.44640048,0.498959177,0.123664116,1.590031796
1216,統一,2022,M1200,12162022,0,0,0,0,0,0,0.462407932,0.051628717,-0.051628717,20.1279709,0.651441814,0.113841817,2.162592661
1216,統一,2021,M1200,12162021,0,0,0,0,0,0,0.516268974,0.037130849,-0.037130849,20.05781092,0.647899239,0.10962759,1.936974814
1216,統一,2020,M1200,12162020,0,0,0,0,0,0,0.490195117,0.042377104,-0.042377104,20.02075191,0.635403677,0.124602644,2.040004001
1216,統一,2019,M1200,12162019,0,0,0,0,0,0,0.502689968,0.040622751,-0.040622751,19.98398104,0.635556847,0.123302211,1.989297706
1216,統一,2018,M1200,12162018,0,0,0,0,0,0,0.437673898,0.017197861,-0.017197861,19.82469244,0.581724676,0.105850104,2.284806118
1216,統一,2017,M1200,12162017,0,0,0,0,0,0,0.564704259,0.063963634,0.063963634,19.8429585,0.538652652,0.112050741,1.770838424
1217,愛之味,2022,M1200,12172022,0,0,0,0,0,0,1.187638141,0.024032142,0.024032142,16.43692669,0.45348101,0.009347236,0.842007313
1217,愛之味,2021,M1200,12172021,0,0,0,0,0,0,1.52330926,0.023048228,0.023048228,16.44284039,0.465383405,0.008624987,0.656465516
1217,愛之味,2020,M1200,12172020,0,0,0,0,0,0,1.267746621,0.002028865,-0.002028865,16.40634199,0.485904618,0.037238157,0.788801156
1217,愛之味,2019,M1200,12172019,0,0,0,0,0,0,1.818635358,0.004930704,0.004930704,16.37242666,0.500676722,0.017459929,0.549862838
1217,愛之味,2018,M1200,12172018,0,0,0,0,0,0,1.893000655,0.010509585,-0.010509585,16.34800172,0.501624894,0.034198508,0.528261835
1217,愛之味,2017,M1200,12172017,0,0,0,0,0,0,1.682540009,0.024169392,0.024169392,16.32040675,0.499783129,0.006441443,0.594339507
1218,泰山,2022,M1200,12182022,0,0,0,0,0,0,0.913031902,0.279475276,0.279475276,16.62819725,0.245382298,-0.025872786,1.095251982
1218,泰山,2021,M1200,12182021,0,0,0,0,0,0,0.467947857,0.090663692,0.090663692,16.179969,0.342832711,-0.025713847,2.136990233
1218,泰山,2020,M1200,12182020,0,0,0,0,0,0,0.528692937,0.060780611,0.060780611,16.03908112,0.239025937,0.044302734,1.891457082
1218,泰山,2019,M1200,12182019,0,0,0,0,0,0,0.632983825,0.037732924,0.037732924,16.03789886,0.284329325,0.039135271,1.5798192
1218,泰山,2018,M1200,12182018,0,0,0,0,0,0,0.747544869,0.020663723,0.020663723,15.99105764,0.272997894,0.047692279,1.337712345
1218,泰山,2017,M1200,12182017,0,0,0,0,0,0,0.499934159,0.051472392,0.051472392,15.82801243,0.489176375,0.009763683,2.000263399
1219,福壽,2022,M1200,12192022,0,0,0,0,0,0,0.67561262,0.076546678,0.076546678,16.14527249,0.568506821,-0.023942983,1.48013813
1219,福壽,2021,M1200,12192021,0,0,0,0,0,0,0.75023518,0.067079681,0.067079681,16.02928575,0.511029328,-0.011525547,1.332915367
1219,福壽,2020,M1200,12192020,0,0,0,0,0,0,0.670496716,0.004548164,0.004548164,15.96144921,0.480306285,0.096248881,1.491431615
1219,福壽,2019,M1200,12192019,0,0,0,0,0,0,0.684598947,0.063583348,0.063583348,16.00577441,0.557006037,-0.012483146,1.460709229
1219,福壽,2018,M1200,12192018,0,0,0,0,0,0,0.784925767,0.014909672,-0.014909672,15.95740176,0.551803194,0.038607123,1.274005826
1219,福壽,2017,M1200,12192017,0,0,0,0,0,0,0.800736613,0.082848584,0.082848584,15.95107094,0.533472185,-0.036941488,1.248850101
1220,台榮,2022,M1200,12202022,0,0,0,0,0,0,0.938261448,0.080204136,0.080204136,14.97957501,0.240059945,-0.032290797,1.065801011
1220,台榮,2021,M1200,12202021,0,0,0,0,0,0,1.00045829,0.004887829,0.004887829,15.00691167,0.212073433,0.080625758,0.99954192
1220,台榮,2020,M1200,12202020,0,0,0,0,0,0,0.991901703,0.0620207,-0.0620207,14.94733065,0.178216462,0.149470415,1.008164415
1220,台榮,2019,M1200,12202019,0,0,0,0,0,0,1.509880768,0.004834146,0.004834146,14.9628565,0.213133631,0.059799252,0.662303952
1220,台榮,2018,M1200,12202018,0,0,0,0,0,0,1.537486972,0.018589182,0.018589182,14.94902753,0.220892028,0.037743963,0.650412015
1220,台榮,2017,M1200,12202017,0,0,0,0,0,0,1.42143313,0.0243289,0.0243289,14.92324875,0.211839262,0.032277094,0.703515332
1225,福懋油,2022,M1200,12252022,0,0,0,0,0,0,0.338743023,0.055954524,0.055954524,16.06058973,0.591959804,-5.69E-05,2.952090322
1225,福懋油,2021,M1200,12252021,0,0,0,0,0,0,0.395850782,0.139990607,0.139990607,16.02479194,0.574884995,-0.065803375,2.526204432
1225,福懋油,2020,M1200,12252020,0,0,0,0,0,0,0.429636419,0.020018952,0.020018952,15.8558726,0.514760196,0.067895262,2.327549425
1225,福懋油,2019,M1200,12252019,0,0,0,0,0,0,0.526249743,0.034379943,0.034379943,15.86204363,0.528688672,0.053188618,1.900238458
1225,福懋油,2018,M1200,12252018,0,0,0,0,0,0,0.2674879,0.052145211,-0.052145211,15.67588165,0.439586494,0.118827672,3.738486862
1225,福懋油,2017,M1200,12252017,0,0,0,0,0,0,0.242313668,0.058300439,0.058300439,15.76384918,0.481609287,0.012525403,4.126882352
1227,佳格,2022,M1200,12272022,0,0,0,0,0,0,0.484850027,0.005307431,-0.005307431,17.14519092,0.360754915,0.066984795,2.06249344
1227,佳格,2021,M1200,12272021,0,0,0,0,0,0,0.468158908,0.036265782,-0.036265782,17.15798854,0.34684416,0.134647395,2.136026855
1227,佳格,2020,M1200,12272020,0,0,0,0,0,0,0.411523273,0.035569197,0.035569197,17.14140456,0.352511632,0.087341398,2.429996225
1227,佳格,2019,M1200,12272019,0,0,0,0,0,0,0.346104697,0.052445714,-0.052445714,17.05372871,0.334960971,0.197207382,2.88929913
1227,佳格,2018,M1200,12272018,0,0,0,0,0,0,0.354329608,0.03211112,0.03211112,16.99346672,0.331587843,0.109979366,2.822230989
1227,佳格,2017,M1200,12272017,0,0,0,0,0,0,0.337672334,0.005761718,0.005761718,16.93829337,0.338443562,0.111947482,2.961450789
1229,聯華,2022,M1200,12292022,0,0,0,0,0,0,0.580659722,0.019138083,0.019138083,18.06271279,0.235696346,0.052075476,1.722179036
1229,聯華,2021,M1200,12292021,0,0,0,0,0,0,0.816864167,0.042522557,0.042522557,18.08758628,0.212740896,0.026859513,1.22419374
1229,聯華,2020,M1200,12292020,0,0,0,0,0,0,0.898369397,0.025056001,0.025056001,17.84065719,0.206085541,0.041810019,1.113127855
1229,聯華,2019,M1200,12292019,0,0,0,0,0,0,1.287806661,0.013218563,0.013218563,17.65592892,0.19152998,0.060616488,0.776514076
