Mkey,Key,YEAR,Trade,Industry,RPA,POST_RPA,POST,BIG4,SEO,INST,SG,CYCLE,CL,ZSCORE,INSTt,MS,LGTA,BM.x,LEV,OCF,MTB,Age,ESG,RD,ADV,NOA,Code,YICounts,Year.y,Equity,Asset,PPE,NI_Ctd,NI_Ctd_1,NI,NI_1,EBITDA,EBITDA_1,OCF.y,S,AR,Asset_1,S_1,AR_1,S_2,EXP,PROD,DA,DA1,DA2,ABCFO,ABPROD,ABEXP,AC,A1,A21,A2,A3,A4,A6,ROA,Median_ROA,ADJROA,CFO,R1,R2,R3,R4,R5
13142021,13042021,2021,TSE,M1300,1,1,1,1,0,0.4781,0.300384728,66.83,0.18331315,2.624524476,0.5808,0.052271948,18.25610338,2.140333331,0.344004465,0.105312662,0.467216945,4.060443011,71.39,0.005990199,0.044084706,0.796118737,1304,25,2021,55644961,84825213,24471011,10079451,5682637,9807075,5344689,15255459,9697886,8933169,71755542,9391222,77324516,50201273,7481916,55656741,0.062991445,0.741103326,-0.022090929,-0.022247626,-0.032818412,0.076966438,-0.079173089,0.007156611,0.014824302,1.29E-08,0.278750778,0.254058661,0.31647157,0.130352591,0.115528289,0.130352591,0.065325152,0.065027439,0.115528289,1.29E-08,0.927979194,0.278750778,-0.070552889,0.649228415
13142022,13042022,2022,TSE,M1300,1,1,1,1,0,0.5808,-0.080051932,59.68,0.138611262,2.030152061,0.531,0.05207862,18.16890067,1.913287873,0.344946524,0.125412789,0.522660502,4.060443011,70.78,0.006577543,0.051270433,0.642213065,1304,25,2022,50924885,77741569,25520104,-61189,10079451,55390,9807075,3322096,15255459,9749787,66437122,7939581,84825213,71755542,9391222,50201273,0.061351511,0.649533141,-0.060891557,-0.061017475,-0.068798809,0.041212134,-0.056620919,0.006743716,-0.115661083,1.18E-08,-0.062698575,-0.045585255,0.300855171,-0.000721354,0.114939729,-0.000721354,0.002687803,-0.003409157,0.114939729,1.18E-08,0.783223757,-0.062698575,0.25410215,0.845922332
13122017,13132017,2017,TSE,M1300,1,0,0,1,0,0.609,0.162215271,48.81,0.334931216,2.271427124,0.6464,0.04413173,17.62239478,1.180190791,0.527573519,0.02832463,0.847320626,3.850147602,57.65,0,0.018360805,0.906303992,1313,24,2017,21263906,45009979,15459853,2342413,1088813,1950106,1061012,4574400,2996735,1274891,50600125,3502843,36398317,42392012,3185369,43647964,0.051250694,1.348261734,0.042145032,0.053121673,0.002120917,-0.038864428,0.083817347,-0.015003686,0.029328884,2.75E-08,0.225508037,0.21678582,0.424740875,0.064354981,0.035026097,0.064354981,0.061792311,0.00256267,0.035026097,2.75E-08,1.390177601,0.225508037,-0.034505771,1.164669564
13122018,13132018,2018,TSE,M1300,1,0,0,1,0,0.6464,0.173990113,55.15,0.230042511,2.209317951,0.684,0.048388014,17.63913611,1.613755879,0.567967484,0.013857441,0.619672413,3.850147602,60.84,0,0.021511236,0.774682365,1313,24,2018,19774063,45769849,17072617,753610,2342413,743351,1950106,3150286,4574400,634253,61258498,4061444,45009979,50600125,3502843,42392012,0.05164026,1.304980013,-0.049637951,-0.040837181,-0.032759083,-0.048205735,0.081087775,-0.011770069,0.00265179,2.22E-08,0.236800222,0.224389618,0.379307375,0.016743176,0.014091386,0.016743176,0.026557275,-0.009814099,0.014091386,2.22E-08,1.360998147,0.236800222,0.182362071,1.124197925
13122019,13132019,2019,TSE,M1300,1,1,1,1,0,0.684,0.023223238,54.78,0.235664785,2.116445248,0.6653,0.058096768,17.6256558,1.727091421,0.544440123,0.097166957,0.579008145,3.850147602,66.23,0,0.024085967,0.731737568,1313,25,2019,20571716,45156997,16362557,-140376,753610,-130181,743351,1992875,3150286,4387768,62714942,3732262,45769849,61258498,4061444,50600125,0.05276928,1.285302165,-0.070744675,-0.068290979,-0.06210391,-0.059057489,0.109680392,-0.011194392,-0.098932902,2.18E-08,0.031821036,0.03901315,0.357496416,-0.003066997,0.095865905,-0.003066997,0.038767402,-0.041834399,0.095865905,2.18E-08,1.370223922,0.031821036,0.23286887,1.338402886
13122020,13132020,2020,TSE,M1300,1,1,1,1,0,0.6653,-0.209152962,48.04,0.133953499,2.69309204,0.6338,0.055353502,17.60424976,0.735081127,0.435422141,0.078012315,1.360394062,3.850147602,67.87,0,0.025882511,0.787350076,1313,25,2020,24954701,44200637,15725460,2134320,-140376,2138729,-130181,4889986,1992875,3448194,51866839,3985908,45156997,62714942,3732262,61258498,0.052295351,1.02863977,-0.018870688,-0.019615024,-0.041989381,-0.087785895,0.119394269,-0.011600398,-0.02909569,2.21E-08,-0.240230833,-0.245847814,0.34823972,0.047264436,0.076360126,0.047264436,0.039728756,0.00753568,0.076360126,2.21E-08,1.148589199,-0.240230833,0.032252898,1.388820032
13122021,13132021,2021,TSE,M1300,1,1,1,1,0,0.6338,0.367033169,54.64,0.16082439,2.948446468,0.6994,0.059692815,17.80026054,1.432876282,0.444007593,-0.000988231,0.697896959,3.850147602,67.82,0,0.019641595,0.981145475,1313,25,2021,29896737,53771844,15711926,2147462,2134320,2165120,2138729,4957559,4889986,-53139,81942428,4942116,44200637,51866839,3985908,62714942,0.060874394,1.800026027,-0.004276852,-0.00858097,0.008149751,-0.096779114,0.156503572,-0.019824223,0.049786635,2.26E-08,0.680433384,0.65880003,0.355468316,0.048584413,-0.001202222,0.048584413,0.065325152,-0.016740739,-0.001202222,2.26E-08,1.853874368,0.680433384,-0.245428658,1.173440985
13122022,13132022,2022,TSE,M1300,1,1,1,1,0,0.6994,-0.125279178,43.75,0.280785956,2.082716678,0.6249,0.05708174,17.73871921,1.297156502,0.483683713,0.013314295,0.770917001,3.850147602,67.53,0,0.022728277,0.77342051,1313,25,2022,26106202,50562422,16135794,-1236224,2147462,-1230513,2165120,563422,4957559,673203,72819643,3540688,53771844,81942428,4942116,51866839,0.050521533,1.352662371,0.038108768,0.036131124,0.0138914,-0.100965274,0.113594566,-0.032739079,-0.035509792,1.86E-08,-0.169657284,-0.143594797,0.300078867,-0.022990173,0.012519619,-0.022990173,0.002687803,-0.025677976,0.012519619,1.86E-08,1.354233695,-0.169657284,0.559318535,1.523890979
14092017,14022017,2017,TSE,M1400,1,0,0,1,0,0.8405,0.009139568,56.63,0.19668586,1.25575335,0.8513,0.414854259,20.06310126,2.184835811,0.505503546,0.057645151,0.457700297,4.234106505,71.19,0.003733185,0.102486512,0.825000103,1402,48,2017,255539093,516766280,152732987,14201337,12702690,15047312,10597590,40010807,37785387,29789070,217846948,25709039,513460158,215855921,24830649,217948202,0.066732521,0.336206002,-0.002730671,-0.003145129,-0.005735998,0.026215258,-0.031481701,0.020586543,-0.030358213,1.95E-09,0.003877666,0.002166939,0.297458302,0.027658109,0.058016322,0.027658109,0.020275882,0.007382227,0.058016322,1.95E-09,0.42427235,0.003877666,-0.004074865,0.420394684
14092018,14022018,2018,TSE,M1400,1,0,0,1,0,0.8513,0.047296832,55.48,0.22786866,1.213614901,0.8536,0.401521091,20.15337897,1.903196638,0.526636412,0.03324085,0.525431781,4.234106505,69.06,0.003659131,0.073441721,0.880863815,1402,49,2018,267729437,565589420,164557019,18391602,14201337,16992534,15047312,44848286,40010807,18800673,228661933,29347392,516766280,217846948,25709039,215855921,0.057311646,0.371060436,0.007474358,0.007697763,0.011308239,0.00154049,-0.009325847,0.010302128,-0.000791598,1.94E-09,0.020928194,0.013887578,0.318436062,0.035589787,0.036381385,0.035589787,0.020052247,0.01553754,0.036381385,1.94E-09,0.442486172,0.020928194,0.003852858,0.421557978
