"Key","Year","Adopt_Ind","Industry","POST","RPA_Ctd","Adopt","Big4","LGTA","INST","MS","BM.x","LEV","OCF","MTB","Age_","Age","ESG","RD","ADV","Equity","Asset","PPE","NI_Ctd","OCF.y","S","AR","Asset_1","S_1","AR_1","S_2","EXP","PROD_origin","PROD","BM.y","DA","DA1","DA2","ABCFO","ABPROD","ABEXP","AC","A1","A21","A2","A3","A4","A5","A6","ROA","Median_ROA","ADJROA","CFO","R1","R2","R3","R4","R5","ABSDA","ABSDA1","ABSDA2","RM","RM1","RM2","RPA","ADJROA_sq","distance","weights","subclass"
"14022018","2018","1","M1400","0",0,"1","1",20.15337897,0.8536,0.244432376889998,1.903196638,0.526636412,0.03324085,0.525431781,69,4.234106505,69.06,0.003659131,0.073441721,247021877.119998,565589420,95511754.8199994,18391602,18800673,228661933,29347392,516766280,217846948,25709039,215855921,0.057311646,184261821,0.371060436,1.903196638,0.003485362,0.00348131,0.005595278,-0.010150426,-0.010125383,-0.006661106,-0.000791598,1.94e-09,0.020928194,0.013887578,0.318436062,0.035589787,1.903196638,0.036381385,0.035589787,0.02024905,0.015340738,0.036381385,1.94e-09,0.442486172,0.020928194,0.003852858,0.421557978,0.003485362,0.00348131,0.005595278,-0.026936915,-0.016811532,-0.016786489,0,0.000235338242384644,0.08338394797615,1,"23"
"14022019","2019","1","M1400","0",1,"1","1",20.17175658,0.8678,0.244432376889998,2.192344354,0.529021447,0.076290288,0.456132723,69,4.234106505,65.11,0.004245387,0.075198794,247021877.119998,576079699,95511754.8199994,16435163,43949286,250146590,26486590,565589420,228661933,29347392,217846948,0.054787961,205396660,0.350857871,2.192344354,-0.01934545,-0.015223159,-0.01104041,-0.017295145,-0.003036295,-0.008312377,-0.048646813,1.77e-09,0.037986313,0.043044403,0.288225268,0.02905847,2.192344354,0.077705283,0.02905847,0.015649418,0.013409051,0.077705283,1.77e-09,0.442275936,0.037986313,0.019121618,0.404289622,0.01934545,0.015223159,0.01104041,-0.028643817,-0.025607522,-0.011348672,1,0.000179802648720601,0.14408703323255,1,"74"
"14022020","2020","1","M1400","1",1,"1","1",20.24030708,0.8294,0.244432376889998,1.800812087,0.563299557,0.067248725,0.555305024,69,4.234106505,67.4,0.00419218,0.090813199,247021877.119998,616955270,95511754.8199994,12980539,41489455,206769281,26788957,576079699,250146590,26486590,228661933,0.052759922,166373605,0.279810744,1.800812087,-0.030817378,-0.032173497,-0.026631722,-0.023867093,-0.0007657,-0.01265821,-0.049487798,1.74e-09,-0.075297409,-0.07582228,0.282356598,0.02253254,1.800812087,0.072020339,0.02253254,0.004215592,0.018316948,0.072020339,1.74e-09,0.358924783,-0.075297409,0.037294591,0.434222193,0.030817378,0.032173497,0.026631722,-0.037291003,-0.036525303,-0.01342391,1,0.000335510584034704,0.249234828231156,1,"75"
"14022021","2021","1","M1400","1",1,"1","1",20.26965131,0.839,0.244432376889998,1.733754103,0.575943302,0.057258304,0.576783062,69,4.234106505,64.71,0.003685294,0.096512692,247021877.119998,635327585,95511754.8199994,14844485,36377780,238806217,29336993,616955270,206769281,26788957,250146590,0.056719504,192320517,0.355533885,1.733754103,-0.068771929,-0.071970573,-0.062744198,-0.06136383,-0.008968881,-0.02027277,-0.034902522,1.62e-09,0.051927486,0.047797468,0.267588216,0.024060877,1.733754103,0.058963399,0.024060877,0.027454518,-0.003393641,0.058963399,1.62e-09,0.387072173,0.051927486,-0.070308677,0.335144687,0.068771929,0.071970573,0.062744198,-0.090605481,-0.0816366,-0.029241651,1,1.1516799236881e-05,0.29186482001982,1,"76"
"14022022","2022","1","M1400","1",1,"1","1",20.3043475,0.8335,0.244432376889998,1.583543023,0.586972543,0.058548672,0.631495315,69,4.234106505,63.43,0.003750606,0.089364441,247021877.119998,657757910,95511754.8199994,13341150,38510852,263944525,29095332,635327585,238806217,29336993,206769281,0.057064486,213924074,0.344553179,1.583543023,-0.018700037,-0.018151692,-0.016849943,-0.039790991,-0.02184518,-0.009596375,-0.039616888,1.57e-09,0.039567474,0.039947847,0.270810826,0.020998852,1.583543023,0.06061574,0.020998852,0.022678295,-0.001679443,0.06061574,1.57e-09,0.415446348,0.039567474,0.050425854,0.375878874,0.018700037,0.018151692,0.016849943,-0.071232546,-0.049387366,-0.031441555,1,2.820528790249e-06,0.348286371363208,1,"77"
"14232019","2019","1","M1400","0",0,"0","1",14.76243912,0.3642,0.000800647,1.016804849,0.085586435,-0.034855961,0.983472887,59,4.077537444,42.97,0,0.018899519,2357157,2577780,350791,-36183,-89851,455091,62.79,2620924,761087,24207,681370,0.012011413,503963,0.213832984,1.016804849,-0.024366399,-0.028972297,0.01033447,0.038369933,0.032579824,0.040898553,0.020476748,3.82e-07,-0.116751192,-0.107515136,0.133842492,-0.013805437,1.016804849,-0.034282184,-0.013805437,0.015649418,-0.029454855,-0.034282184,3.82e-07,0.173637618,-0.116751192,0.030415609,0.290388809,0.024366399,0.028972297,0.01033447,0.11184831,0.079268486,0.073478377,0,0.000867588483071025,0.00359626859280166,1,"264"
"14322022","2022","1","M3700","0",0,"0","1",15.40413639,0.4059,0.001611656,0.434089127,0.850812791,0.075028359,2.303674379,50,3.912023005,45.53,0,0.281740507,730572,4897015,619840,-36918,367415,1106827,50153,4892868,778055,42035,1154819,0.087298697,686247,0.144490511,0.434089127,-0.096034859,-0.096408517,-0.097038453,-0.052749809,0.011168205,0.009231097,-0.082637218,2.04e-07,0.067194128,0.065534979,0.126682347,-0.007545268,0.434089127,0.07509195,-0.007545268,0.109364764,-0.116910032,0.07509195,2.04e-07,0.226212316,0.067194128,-0.07700269,0.159018187,0.096034859,0.096408517,0.097038453,-0.032350507,-0.043518712,0.020399302,0,0.013667955582241,0.0524244655990724,1,"316"
"14492020","2020","1","M1400","0",0,"0","1",15.66621339,0.4483,0.004025367,0.576178973,0.829592173,-0.060641319,1.735571839,51,3.931825633,42.58,0.03283828,0.064207519,1084525,6364291,295896,-127030,-385939,1929151,242268,6410055,2496050,133046,2459080,0.056153184,1838286,0.485045292,0.576178973,0.034887963,0.038086503,0.057745476,0.096368556,0.242315839,-0.01384125,0.040391073,1.56e-07,-0.088439023,-0.10547819,0.046161226,-0.019817303,0.576178973,-0.060208376,-0.019817303,0.004215592,-0.024032895,-0.060208376,1.56e-07,0.300957012,-0.088439023,0.005767501,0.389396035,0.034887963,0.038086503,0.057745476,0.324843145,0.082527306,0.228474589,0,0.000577580042081025,0.0338935732742886,1,"166"
"14542021","2021","1","M1400","0",1,"1","1",14.53527679,0.2476,0.002725785,0.993676688,0.213593008,-0.01630271,1.006363551,50,3.912023005,44.55,0.005564449,0.047980752,1615243,2053953,726964,5133,-33485,1574819,151366,1992198,1204928,122630,1904529,0.069871569,1446530,0.760412871,0.993676688,0.00623506,0.006837588,0.026199002,0.025998985,0.010671736,0.021235917,0.019384619,5.02e-07,0.185669798,0.171245529,0.364905496,0.002576551,0.993676688,-0.016808068,0.002576551,0.027454518,-0.024877967,-0.016808068,5.02e-07,0.790493214,0.185669798,-0.351170416,0.604823416,0.00623506,0.006837588,0.026199002,0.057906638,0.047234902,0.031907653,1,0.000618913242053089,0.0114179478421743,1,"169"
"14542022","2022","1","M1400","1",1,"1","1",14.52950786,0.2398,0.002845374,0.734532581,0.217312444,0.061360692,1.361409999,50,3.912023005,38.3,0.004891776,0.050315096,1598356,2042138,796175,32191,125307,1796280,144453,2053953,1574819,151366,1204928,0.078502283,1607171,0.783319774,0.734532581,0.008386091,0.012696021,0.019157894,0.046602415,0.056863949,0.012943696,-0.04533502,4.87e-07,0.107821844,0.111187549,0.387630584,0.015672705,0.734532581,0.061007725,0.015672705,0.022678295,-0.00700559,0.061007725,4.87e-07,0.874547762,0.107821844,0.180087373,0.766725918,0.008386091,0.012696021,0.019157894,0.11641006,0.059546111,0.069807645,1,4.90782912481e-05,0.0137961970210947,1,"170"
