Code,Key,Equity,Asset,PPE,NI_Ctd,OCF,S,AR,Asset_1,S_1,AR_1,S_2,EXP,PROD
1471,14712022,1585511,1736576,44169,-157299,1445,237989,59855,1188370,355816,65943,1085366,150156,240544
1472,14722022,776764,2761080,100512,3283,165390,1169012,0,2425319,601943,41706,329104,115121,1060821
1473,14732022,3538070,5176890,1053270,301032,587511,7529845,1184600,5213244,5761476,1145551,5970540,983539,6310580
1474,14742022,2136872,3882578,1492068,80569,370187,3189020,501945,4262799,3503869,787572,2858477,347155,2782976
1475,14752022,1009342,1281898,108,307487,249359,1195744,390751,889252,478666,246815,168113,64904,896416
1476,14762022,25141967,33363523,13627154,6790348,12318001,39736173,3800016,29278767,35917247,4877211,28175401,3328319,28670846
1477,14772022,15445028,24429146,5227399,3540001,3714921,32082917,1198597,22222828,28930505,1160282,24924170,3824147,23826844
1503,15032022,28688783,49381800,7080724,2122149,1023396,30757777,7661888,45195290,27689810,6888117,25684003,2985975,25517225
1504,15042022,86318499,126603110,19131777,3992010,6377629,58315216,11391437,136612450,51248387,11202655,45823430,8110648,45129917
1506,15062022,2400784,2822873,1118423,91915,71177,1141618,251079,2432163,1064137,266804,855851,186138,939000
1512,15122022,376637,2352972,427538,-184642,-2440,775474,216097,1863571,1002270,227846,1188984,196642,728429
1513,15132022,13365614,41652205,14330543,2466498,5471429,18546885,2412866,34259773,18027267,1570979,15390789,1893313,13802437
1514,15142022,3919804,10083111,1536559,525880,225040,7709152,3619678,8192043,5681629,3115895,5113892,791949,6418988
1515,15152022,3509327,7753957,3119127,-299120,-1874042,4549308,778517,12521433,18366823,1758010,11374207,584437,4394448
1516,15162022,450333,674436,44738,48521,233320,1502111,296068,513558,1190598,313969,820184,16587,1426925
1517,15172022,4166521,5426218,1197534,555205,839380,5084564,1013972,5679622,4879953,1400417,3383919,406992,4079617
1519,15192022,4265273,11700438,1976677,822304,837816,7750727,2142149,9922390,9020094,2661505,8471592,1158381,6163119
1521,15212022,1793508,3311021,966643,88824,443204,4746405,832280,3394463,4992142,784862,4797165,540121,4151023
