"","X","Code","Key","AC","A1","A2","A3","A4","DA","DA_ROA"
"49",49,1325,13252022,-0.020016274101117,3.10811709644674e-07,-0.205915865756693,0.363203063857509,0.00420403918465386,0.0259319436326662,0.0291954822836118
"50",50,1326,13262022,-0.0393224366270624,1.67127584768695e-09,0.0117637446824578,0.238739984960957,0.0153821905947678,-0.0237190486340042,-0.0165164592121586
"51",51,1336,13362022,-0.0567989199729993,4.41187500275742e-07,0.327396420204623,0.405257631440786,0.069622475856014,-0.0483380160926855,-0.0466843081423998
"52",52,1337,13372022,-0.0266900729276054,1.81556476410004e-07,-0.0805642339551279,0.228291655228609,-0.0865828311481196,-0.00519646784593864,0.0216861522636351
"53",53,1338,13382022,-0.0749332489724928,8.54085183381484e-08,-0.021705208399347,0.337103493088828,0.0111622954871676,-0.0460406382495957,-0.0390282895364332
"54",54,1339,13392022,-0.0686081278894032,1.97946698892389e-07,0.03305155620746,0.588854809065563,0.0793752406289558,-0.0166146770269449,-0.0237406901371529
"55",55,1340,13402022,-0.0130598604265136,1.94051506315115e-07,-0.0367083353466177,0.137168606114447,-0.0834184734317291,-0.00500007893114918,0.0222642193821035
"56",56,1341,13412022,-0.0789962314964448,4.22383272270792e-07,0.170472621538675,0.280849395865206,0.126799035952419,-0.0717879080118964,-0.0865715266344435
"57",57,1342,13422022,-0.0448015417947507,4.16251282574264e-07,0.22950971842682,0.425884169755598,0.207923343163801,-0.026357274014922,-0.0576244307555549
"58",58,1402,14022022,-0.0396168883490239,1.57399115607423e-09,0.0391871021939021,0.27081082588284,0.0209988521118597,-0.022660111829491,-0.016026527964861
"59",59,1409,14092022,0.00584552223208804,5.10121871328828e-09,-0.0112905171756835,0.103932245368192,0.0184689011368357,0.00850660585826666,0.0144862240589059
"60",60,1410,14102022,-0.0397442727008227,7.02779210666502e-07,-0.0851634875277773,0.148814903417053,0.0393415802131108,-0.0272367553560756,-0.0298788185813634
"61",61,1413,14132022,0.0013190838401643,3.5288492246236e-07,0.0642716366979146,0.397335013065564,0.0349500756055946,0.0297088078172841,0.0327563526624163
"62",62,1414,14142022,-0.00744896883749887,2.17304146489071e-07,-0.0308285046541116,0.335194470913297,0.0226782953358925,0.0217871288026473,0.02562067751836
"63",63,1416,14162022,-0.0184067124140495,2.58003061464327e-07,-0.00339403027356323,0.00922825350245606,0.0248343426843103,-0.0270448296763767,-0.0230276702386628
"64",64,1417,14172022,0.0220068056490049,2.50964267456635e-07,0.0511999730966305,0.212381020977852,-0.0121657438292279,0.0313142173578161,0.044821144878318
"65",65,1418,14182022,0.0375975139908321,2.8122275654546e-07,-0.00521471357462246,0.17918839112461,0.00613346832025648,0.0476702244865834,0.0556481164218786
"66",66,1419,14192022,0.110860498446712,6.19765883437531e-08,0.03220805540707,0.0390746275594394,0.128352646787676,0.102934293917235,0.0855614760400849
"67",67,1423,14232022,-0.0706498623529467,2.92120232013573e-07,-0.00345081630077634,0.0957044304122868,0.0214270190181956,-0.0698640970674253,-0.0652285895065161
"68",68,1432,14322022,-0.0826372180896767,2.04379108531029e-07,0.0688532778730184,0.126682346631873,-0.00754526792874854,-0.0840363681711132,-0.0709399566098104
"69",69,1434,14342022,-0.00269352233308502,1.22937435614592e-08,0.013235665605651,0.14173890921154,0.0418599632456408,0.00216720040782455,0.0035541545449089
"70",70,1436,14362022,-0.0732210955299531,7.30401021568085e-08,0.0994718543253143,0.00257575920255985,0.0460620830642719,-0.0904426518316546,-0.0879835099678298
"71",71,1437,14372022,0.0054804050993313,8.37009759198988e-08,0.00888762072610262,0.000227666654502125,0.0340467948720095,-0.00489019697767564,-0.00206095272041632
"72",72,1438,14382022,0.0623032098829477,1.90722749581221e-07,0.113489190692806,0.00334775642339916,0.0712442923833153,0.0439170756704102,0.0407964088636245
"73",73,1439,14392022,0.156401249984621,2.05049970677854e-07,-0.00975955840438315,3.42433451032016e-05,0.0294435353895744,0.147323746259865,0.15033099633265
