代號,名稱,年/月,Year,Key,Equity,TA,NI,BVE,NB,LNAT,NIS,Industry,Price3m,RPA,LN_RPA_Count,RPA_Count,Finance,KY,Price
1218,泰山,20-Dec,2020,12182020,7031602,9240265,831313,14.06,0.118225264,16,1.66,M1200,27.05,0,0,0,0,0,26.6
1218,泰山,19-Dec,2019,12182019,6605173,9229347,568667,13.21,0.086094187,16,1.14,M1200,20.04,0,0,0,0,0,20.87
1218,泰山,18-Dec,2018,12182018,6402709,8807002,458649,12.81,0.071633585,16,0.92,M1200,15.54,0,0,0,0,0,17.13
1218,泰山,17-Dec,2017,12182017,3821989,7482013,265285,7.64,0.069410195,16,0.53,M1200,13.98,0,0,0,0,0,15.29
1219,福壽,22-Dec,2022,12192022,4433806,10275495,307401,13.77,0.06933118,16,0.95,M1200,20.38,0,0,0,0,0,20.38
1219,福壽,21-Dec,2021,12192021,4474177,9150195,295079,13.89,0.065951571,16,0.92,M1200,17.94,0,0,0,0,0,18.52
1219,福壽,20-Dec,2020,12192020,4443414,8550063,281614,13.8,0.063377844,16,0.87,M1200,18.82,0,0,0,0,0,20.58
1219,福壽,19-Dec,2019,12192019,3959290,8937571,-1823,12.3,-0.000460436,16,-0.01,M1200,15.27,0,0,0,0,0,17.96
1219,福壽,18-Dec,2018,12192018,3816632,8515527,-94723,11.85,-0.024818479,16,-0.29,M1200,15.39,0,0,0,0,0,15.1
1219,福壽,17-Dec,2017,12192017,3947659,8461787,41066,12.26,0.010402621,16,0.13,M1200,15.18,0,0,0,0,0,15.31
1220,台榮,22-Dec,2022,12202022,2434031,3202925,72368,13.75,0.02973175,15,0.41,M1200,16.13,0,0,0,0,0,14.65
1220,台榮,21-Dec,2021,12202021,2593610,3291690,193481,14.65,0.074599111,15,1.09,M1200,15.75,0,0,0,0,0,14.64
1220,台榮,20-Dec,2020,12202020,2548594,3101296,180606,14.39,0.070864955,15,1.02,M1200,12.16,0,0,0,0,0,14.51
1220,台榮,19-Dec,2019,12202019,2478489,3149822,153765,14,0.062039815,15,0.87,M1200,8.32,0,0,0,0,0,9.27
1220,台榮,18-Dec,2018,12202018,2420348,3106563,110331,13.67,0.045584767,15,0.62,M1200,8.89,0,0,0,0,0,8.89
1220,台榮,17-Dec,2017,12202017,2386159,3027503,81361,13.48,0.034097057,15,0.46,M1200,8.48,0,0,0,0,0,9.48
1225,福懋油,22-Dec,2022,12252022,3852374,9441163,347147,17.61,0.090112486,16,1.59,M1200,54.69,0,0,0,0,0,52
1225,福懋油,21-Dec,2021,12252021,3872444,9109168,486847,17.71,0.125720863,16,2.23,M1200,52.65,0,0,0,0,0,44.73
1225,福懋油,20-Dec,2020,12252020,3733141,7693394,417787,17.07,0.111912998,16,1.91,M1200,47.05,0,0,0,0,0,39.73
1225,福懋油,19-Dec,2019,12252019,3648429,7741017,395480,16.68,0.10839734,16,1.81,M1200,26.87,0,0,0,0,0,31.7
1225,福懋油,18-Dec,2018,12252018,3601285,6426121,300502,16.47,0.083442993,16,1.37,M1200,55.82,0,0,0,0,0,61.56
1225,福懋油,17-Dec,2017,12252017,3637558,7017020,320546,16.63,0.088121207,16,1.47,M1200,59.09,0,0,0,0,0,68.64
1227,佳格,22-Dec,2022,12272022,17853740,27929413,1317280,19.51,0.07378174,17,1.44,M1200,39.56,0,0,0,0,0,40.24
1227,佳格,21-Dec,2021,12272021,18477217,28289140,2564015,20.19,0.138766298,17,2.8,M1200,46.05,0,0,0,0,0,43.13
1227,佳格,20-Dec,2020,12272020,18015627,27823862,3257860,19.69,0.180835227,17,3.56,M1200,51.82,0,0,0,0,0,47.84
1227,佳格,19-Dec,2019,12272019,16950691,25488265,3488852,18.52,0.205823586,17,3.81,M1200,51.82,0,0,0,0,0,53.52
1227,佳格,18-Dec,2018,12272018,16040325,23997656,2602819,17.53,0.162267223,17,2.84,M1200,42.22,0,0,0,0,0,49.47
