"Key","Year","Fin","Industry","Trade","RPA_Ctd","Adopt","Big4","LGTA","INST","MS","BM.x","LEV","OCF","MTB","Age_","Age","ESG","RD","ADV","Equity","Asset","PPE","NI_Ctd","OCF.y","S","AR","Asset_1","S_1","AR_1","S_2","EXP","PROD_origin","PROD","BM.y","DA","DA1","DA2","ABCFO","ABPROD","ABEXP","AC","A1","A21","A2","A3","A4","A5","A6","ROA","Median_ROA","ADJROA","CFO","R1","R2","R3","R4","R5","ABSDA","ABSDA1","ABSDA2","RM","RM1","RM2","RPA","ADJROA_sq","distance","weights","subclass"
"57032022","2022","0","M2700","OTC",1,"1","0",13.76192833,0.5747,0.002432103,0.185136256,0.533528235,-0.048026646,5.401427152,46,3.828641396,60.5,0,0.050277826,442135,947828,664365,-85395,-45521,252676,12188,1050759,211240,10168,296299,0.103123552,230462,0.218350735,0.185136256,0.030974247,0.033195635,0.059559616,0.049621255,0.056347749,0.041106916,-0.037947807,9.52e-07,0.039434352,0.037511932,0.632271529,-0.081269825,0.185136256,-0.043322018,-0.081269825,0.00929659,-0.090566415,-0.043322018,9.52e-07,0.240469984,0.039434352,-0.080950056,0.201035632,0.030974247,0.033195635,0.059559616,0.14707592,0.090728171,0.097454665,1,0.00820227552595222,0.0331916163027546,1,"228"
"58712022","2022","0","M9900","TSE",0,"0","1",20.59224415,0.8715,0.149136613,0.489377648,0.828822435,0.017394797,2.043411676,14,2.63905733,62.64,0,0,150156747,877198754,65457342,26092307.3299995,15258694,86608165,79991359.7999977,713226916,72159554,75596535.7099994,59477759,0.035108732,25517402,0.035777396,0.489377648,-0.005517867,-0.021895987,-0.019844937,-0.004029929,-0.016612025,0.006271537,0.018515158,1.4e-09,0.020258084,-0.081970987,0.09177632,0.039909042,0.489377648,0.021393884,0.039909042,0.032433432,0.00747561,0.021393884,1.4e-09,0.121431431,0.020258084,0.01778087,0.101173347,0.005517867,0.021895987,0.019844937,-0.014370417,0.002241608,-0.010340488,0,5.58847448721e-05,0.288748151503398,1,"149"
"58762020","2020","1","M2800","TSE",0,"1","1",21.3359702041,0.5062,0.01418258,1.153344227,0.902968654,-0.004572742,0.867043834,69,4.234106505,62.72,0,0,205099212,1845571405.91995,20623537,17814616,-6045505.1,37831777,62.79,1690389934.65995,40951272,36.79,37078374,0.00736110322,0,0,1.153344227,0.011598854,0.014897289,0.015604771,0.001817146,0.010218006,0.011751007,0.013239923,5.9516e-10,-0.001502968,-0.001502968,0.009936388,0.008583054,1.153344227,-0.004656869,0.008583054,0.008286276,0.000296778,-0.004656869,5.9516e-10,0.018227291,-0.001502968,0.001865956,0.019730259,0.011598854,0.014897289,0.015604771,0.023786159,0.013568153,0.021969013,0,8.8077181284e-08,0.390951752098335,1,"111"
"58762021","2021","1","M2800","TSE",1,"1","1",21.3359702041,0.516,0.014425995,0.964832604,0.902208356,-0.003129262,1.03644922,69,4.234106505,64.85,0,0,209238200,1845571405.91995,20596416,18670618,-6045505.1,38172502,62.79,1690389934.65995,37831777,36.79,40951272,0.00736110322,0,0,0.964832604,0.020236371,0.021264928,0.020486013,0.012010147,0.007206896,0.011626561,0.012000562,5.9516e-10,0.000161195,0.000161195,0.009744055,0.00883297,0.964832604,-0.003167592,0.00883297,0.009892978,-0.001060008,-0.003167592,5.9516e-10,0.018059208,0.000161195,-0.001475816,0.017898013,0.020236371,0.021264928,0.020486013,0.030843604,0.023636708,0.018833457,1,1.123616960064e-06,0.492908819931455,1,"229"
"58762022","2022","1","M2800","TSE",1,"1","1",21.3359702041,0.5584,0.024646359,1.063792707,0.902964099,0.039479997,0.940032765,69,4.234106505,69.83,0,0,225642921,1845571405.91995,21906365,19096024,51950719.6799996,44599322,62.79,1690389934.65995,38172502,36.79,37831777,0.00795958,0,0,1.063792707,-0.033939955,-0.025928677,-0.029482446,-0.030563664,0.000950017,0.002998812,-0.033981994,5.9516e-10,0.003003702,0.003003702,0.010238376,0.008924907,1.063792707,0.042906902,0.008924907,0.004811556,0.004113351,0.042906902,5.9516e-10,0.020844382,0.003003702,0.000159245,0.01784068,0.033939955,0.025928677,0.029482446,-0.026614835,-0.027564852,0.003948829,1,1.6919656449201e-05,0.627620985592205,1,"230"
"58782020","2020","1","M2800","OTC",0,"0","1",13.59322289,0.4932,0.000342844,0.544780736,0.309929623,0.145867601,1.835600883,21,3.044522438,57.3,0,0.00913584,552529,800685,51638,86844,116794,914530,115581,809513,863520,137078,720606,0.118004282,715869,0.884320573,0.544780736,-0.045911796,-0.031157121,-0.029491995,-0.047647273,0.018585044,0.026338886,-0.036997553,1.24e-06,0.063013194,0.089568667,0.063788969,0.107279315,0.544780736,0.144276868,0.107279315,0.008286276,0.098993039,0.144276868,1.24e-06,1.129728615,0.063013194,0.176543181,1.06671542,0.045911796,0.031157121,0.029491995,-0.002723343,-0.021308387,0.04492393,0,0.00979962177045552,0.135697266112983,1,"3"
"58782021","2021","1","M2800","OTC",0,"0","1",13.56123618,0.4937,0.000307083,0.510525612,0.266239318,0.145829868,1.958765587,21,3.044522438,56.78,0,0.003460625,569016,775479,49449,74676,113088,812570,91172,800685,914530,115581,863520,0.113959922,636168,0.794529684,0.510525612,-0.00382445,-0.002838829,0.002430641,-0.004485374,0.0053343,0.020877124,-0.047973922,1.25e-06,-0.127340964,-0.096855817,0.061758369,0.093265142,0.510525612,0.141239064,0.093265142,0.009892978,0.083372164,0.141239064,1.25e-06,1.01484354,-0.127340964,0.06370795,1.142184505,0.00382445,0.002838829,0.002430641,0.02172605,0.01639175,0.026211424,0,0.0069509177300429,0.164103477388496,1,"74"
"58802019","2019","1","M2800","TSE",1,"1","1",21.3359702041,0.727,0.018334064,1.096148789,0.92756455017,0.002643825,0.912284911,12,2.48490665,59.29,0,0,226907304,1845571405.91995,33771493,17612416,9886555,49096125,6412261,1690389934.65995,46872679,4017954,46628400,0.00736110322,0,0,1.096148789,-0.002125219,-0.004065469,0.014108885,0.000649106,0.013170888,0.009858137,0.002202174,5.9516e-10,0.00063377,-4.87e-05,0.009626204,0.005020232,1.096148789,0.002818057,0.005020232,0.008140667,-0.003120436,0.002818057,5.9516e-10,0.013994327,0.00063377,6.96e-05,0.013360558,0.002125219,0.004065469,0.014108885,0.023678131,0.010507243,0.023029025,1,9.737120830096e-06,0.278843787885255,1,"231"
"58802020","2020","1","M2800","TSE",1,"1","1",21.3359702041,0.7141,0.019406311,1.015086906,0.92756455017,-0.00432259,0.985137326,12,2.48490665,66.99,0,0,237681557,1845571405.91995,33451779,17134991,-6045505.1,51765987,12589625,1690389934.65995,49096125,6412261,46872679,0.00736110322,0,0,1.015086906,0.007886457,0.012196212,0.013539633,-0.001016804,0.016056125,0.010914237,0.009375868,5.9516e-10,0.000713964,-0.000937963,0.008945549,0.004582175,1.015086906,-0.004793693,0.004582175,0.008286276,-0.003704101,-0.004793693,5.9516e-10,0.013843066,0.000713964,0.000594586,0.013129102,0.007886457,0.012196212,0.013539633,0.025953558,0.009897433,0.026970362,1,1.3720364218201e-05,0.456696188526802,1,"232"
"58802021","2021","1","M2800","TSE",1,"1","1",21.3359702041,0.7015,0.020563421,0.758925956,0.92756455017,0.013368669,1.3176516,12,2.48490665,70.74,0,0,242878592,1845571405.91995,33372509,21211730,51950719.6799996,54412693,13319025,1690389934.65995,51765987,12589625,49096125,0.00736110322,0,0,0.758925956,-8.56e-05,0.000802293,0.003125154,-0.00604775,0.013189424,0.010871848,-0.009178295,5.9516e-10,0.000638215,0.000462331,0.008047306,0.005114907,0.758925956,0.014293201,0.005114907,0.009892978,-0.004778071,0.014293201,5.9516e-10,0.013120846,0.000638215,0.000643799,0.012482631,0.00072589653,0.000802293,0.003125154,0.018013522,0.004824098,0.024061272,1,2.2829962481041e-05,0.569124469870136,1,"233"
"58802022","2022","1","M2800","TSE",1,"1","1",21.3359702041,0.7076,0.02938938,0.600332987,0.92756455017,0.010490516,1.665742216,12,2.48490665,69.11,0,0,220763177,1845571405.91995,33147407,20817292,46957311,53182152,7242254,1690389934.65995,54412693,13319025,51765987,0.00736110322,0,0,0.600332987,-0.007256499,-0.001238769,0.001575463,0.003207498,0.007979382,0.002702013,-0.005895575,5.9516e-10,-0.000277534,0.00109301,0.00747601,0.004695097,0.600332987,0.010590672,0.004695097,0.004811556,-0.00011646,0.010590672,5.9516e-10,0.01223739044,-0.000277534,0.000596934,0.012272146,0.007256499,0.001238769,0.001575463,0.013888893,0.005909511,0.010681395,1,1.35629316e-08,0.639151096860396,1,"234"
"59032019","2019","0","M3800","OTC",1,"1","1",17.86227994,0.921921,0.244432376889998,0.131662957,0.889950674,0.166239926,7.5951507,35,3.555348061,64.11,0,0.311302221,6296178,57212327,11752316,1912770,9510973,77729696,1271995,32756777,71720973,1231641,64427868,0.60103315396,49151796,1.546049906,0.131662957,-0.184371852,-0.18327074,-0.148358883,-0.060021774,-0.307803728,-0.256253601,-0.231958199,3.05e-08,0.1834345,0.182202571,0.358775102,0.058393107,0.131662957,0.290351307,0.058393107,0.067053304,-0.008660196,0.290351307,3.05e-08,2.372934798,0.1834345,0.222644157,2.189500298,0.184371852,0.18327074,0.148358883,-0.624079103,-0.316275375,-0.53149931529,1,7.4998994758416e-05,0.248996507594732,1,"235"
"59032020","2020","0","M3800","OTC",1,"1","1",17.93413122,0.921921,0.244432376889998,0.129908103,0.886346184,0.174221851,7.697749231,35,3.555348061,64.26,0,0.304032575,6986799,61474390,12793577,2240930,10710182,85365675,1356893,57212327,77729696,1271995,71720973,0.4936942,54298665,0.946106282,0.129908103,-0.101726158,-0.102405545,-0.082902938,-0.007729886,-0.152987602,-0.255370322,-0.148031944,1.75e-08,0.133467373,0.131983462,0.223615743,0.039168657,0.129908103,0.187200601,0.039168657,0.072489047,-0.03332039,0.187200601,1.75e-08,1.492085351,0.133467373,0.105024971,1.358617978,0.101726158,0.102405545,0.082902938,-0.41608781,-0.263100208,-0.408357924,1,0.0011102483897521,0.319981142387734,1,"236"
"59032021","2021","0","M3800","OTC",1,"1","1",18.02921151,0.921921,0.244432376889998,0.176268521,0.896520923,0.127603654,5.673162708,35,3.555348061,68.62,0,0.319655355,6995836,67606285,17204627,1409749,8626809,83659512,1625916,61474390,85365675,1356893,77729696,0.464314717,53449527,0.882582357,0.176268521,-0.083786348,-0.090091886,-0.092974876,-0.03898168,-0.185552136,-0.235676243,-0.117399457,1.63e-08,-0.027754045,-0.032130225,0.279866575,0.022932297,0.176268521,0.140331754,0.022932297,0.061770778,-0.038838481,0.140331754,1.63e-08,1.360883971,-0.027754045,0.124213986,1.388638017,0.083786348,0.090091886,0.092974876,-0.460210059,-0.274657923,-0.421228379,1,0.00150842760638736,0.417508020572603,1,"237"
"59032022","2022","0","M3800","OTC",1,"1","1",18.11399939,0.9091,0.244432376889998,0.171970839,0.892989034,0.139188722,5.814939357,35,3.555348061,66.33,0,0.320121037,7874777,73588505,20050609,1896019,10242690,90742893,1784844,67606285,83659512,1625916,85365675,0.46193439,57830899,0.863348814,0.171970839,-0.085189912,-0.081735349,-0.063351389,-0.010918714,-0.127132942,-0.221556978,-0.123459986,1.48e-08,0.104774001,0.102423214,0.296579068,0.028045011,0.171970839,0.151504997,0.028045011,0.076080458,-0.048035447,0.151504997,1.48e-08,1.342225697,0.104774001,-0.025236751,1.237451696,0.085189912,0.081735349,0.063351389,-0.359608634,-0.232475692,-0.34868992,1,0.00230740416848981,0.461820988607196,1,"238"
"60052020","2020","1","M2800","TSE",0,"0","1",18.90964494,0.7014,0.003645421,1.326507955,0.762822855,0.016474823,0.75385903,35,3.555348061,58.8,0,0,38674730,163062634,3111323,3840679,2686428,9724095,11062035,133170413,7796951,6510647,7638645,0.036602237,1597565,0.011996396,1.326507955,-0.015876987,-0.01656931,-0.018545418,-0.02570181,-0.007203248,-0.012613299,0.008667473,7.51e-09,0.014471262,-0.019705909,0.02336347,0.028840333,1.326507955,0.020172859,0.028840333,0.008286276,0.020554056,0.020172859,7.51e-09,0.073019936,0.014471262,0.001188748,0.058548673,0.015876987,0.01656931,0.018545418,-0.045518357,-0.038315109,-0.019816547,0,0.000422469218051136,0.278547974946015,1,"231"
"60052021","2021","1","M2800","TSE",0,"0","1",19.13212913,0.6658,0.005019385,1.612173573,0.796392646,-0.004901206,0.620280605,35,3.555348061,58.41,0,0,41473584,203693939,3052798,5461649,-998346,13281753,11422256,163062634,9724095,11062035,7796951,0.038618185,1664243,0.010206158,1.612173573,0.029159394,0.02991983,0.021997243,0.020751974,-0.013103507,-0.013997146,0.039616648,6.13e-09,0.021817739,0.019608643,0.018721628,0.033494179,1.612173573,-0.006122469,0.033494179,0.009892978,0.023601201,-0.006122469,6.13e-09,0.081451849,0.021817739,0.011818428,0.05963411,0.029159394,0.02991983,0.021997243,-0.006348679,0.006754828,-0.027100653,0,0.000557016688642401,0.366958493039317,1,"82"
"60052022","2022","1","M2800","TSE",0,"0","1",19.07100727,0.6556,0.004541994,1.284971049,0.798080622,0.072310531,0.77822765,35,3.555348061,63.52,0,0,38691113,191616641,2773271,1179016,13855901,8219057,6024545,203693939,13281753,11422256,9724095,0.026883083,2205613,0.010828074,1.284971049,-0.043890683,-0.049103282,-0.051058408,-0.047027812,-0.006515025,-0.008460212,-0.062234964,4.91e-09,-0.024854426,0.001644698,0.013614892,0.005788174,1.284971049,0.068023138,0.005788174,0.004811556,0.000976618,0.068023138,4.91e-09,0.040350032,-0.024854426,0.017465704,0.065204459,0.043890683,0.049103282,0.051058408,-0.062003049,-0.055488024,-0.014975237,0,9.53782717924e-07,0.486373188180236,1,"234"
"60152019","2019","1","M2800","OTC",1,"1","1",16.26267173,0.3908,0.000317924,2.21633118,0.662526991,0.018943453,0.451196107,62,4.127134385,40.73,0,0,3899668,11555496,43827,140833,218901,851358,2196279,11575950,297721,1366277,912344,0.063675465,77720,0.00671392,2.21633118,-0.032750628,-0.032038601,-0.056410317,-0.014365479,-0.014460343,-0.0437547,-0.006743982,8.64e-08,0.047826485,-0.023874066,0.003786039,0.012165999,2.21633118,0.018909981,0.012165999,0.008140667,0.004025332,0.018909981,8.64e-08,0.073545411,0.047826485,-0.053094822,0.025718926,0.032750628,0.032038601,0.056410317,-0.072580522,-0.058120179,-0.058215043,1,1.6203297710224e-05,0.0812243252814493,1,"239"
"60152020","2020","1","M2800","OTC",1,"1","1",16.64130142,0.4067,0.00048964,0.588348697,0.753508608,-0.002245369,1.699672329,62,4.127134385,40.64,0,0,4159366,16874285,40522,414718,-37889,1306107,3747795,11555496,851358,2196279,297721,0.077287985,90156,0.007802002,0.588348697,0.032276929,-0.055152624,-0.060492638,-0.021488694,-0.016844996,-0.05186057,0.039168115,8.65e-08,0.039353482,-0.094913018,0.00350673,0.035889243,0.588348697,-0.003278873,0.035889243,0.008286276,0.027602966,-0.003278873,8.65e-08,0.113029073,0.039353482,0.047911141,0.073675591,0.032276929,0.055152624,0.060492638,-0.09019426,-0.073349264,-0.068705566,1,0.000761923731997156,0.152670015085622,1,"240"
