代號,名稱,Year,Industry,Key,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,Asset,NI,Price,MVE,BVE,Earnings,NetDiv,ADV,RD,ROA,S,SG,BM
1217,愛之味,2018,M1200,12172018,0,0,0,0,0,494513,6271960,12584818,-35217,6.7,3313237.1,6271960,-35217,0,0.22040974,0.009438387,-0.61,4321819,4.23,1.972489018
1217,愛之味,2017,M1200,12172017,0,0,0,0,0,494513,6123799,12242288,-44018,7.36,3639615.68,6123799,-44018,0,0.229412105,0.011324518,0.24,4146490,0.78,1.759019101
1218,泰山,2022,M1200,12182022,0,0,0,0,0,499999,12567859,16654604,-285606,27.53,13764972.47,12567859,-285606,284927,0.101358334,0,50.2,11069440,11.31,0.788202204
1218,泰山,2021,M1200,12182021,0,0,0,0,0,499999,6991127,10638276,581097,29.88,14939970.12,6991127,581097,499999,0.09609423,0,-2.76,9944978,19.01,0.541109983
1218,泰山,2020,M1200,12182020,0,0,0,0,0,499999,7031602,9240265,831313,26.6,13299973.4,7031602,831313,699998,0.109414112,0,2.9,8356125,4.44,0.565242449
1218,泰山,2019,M1200,12182019,0,0,0,0,0,499999,6605173,9229347,568667,20.87,10434979.13,6605173,568667,449999,0.111948078,0,1.05,8000584,1.25,0.687682063
1218,泰山,2018,M1200,12182018,0,0,0,0,0,499999,6402709,8807002,458649,17.13,8564982.87,6402709,458649,399999,0.118142367,0,1.62,7901670,2.86,0.804362036
1218,泰山,2017,M1200,12182017,0,0,0,0,0,499999,3821989,7482013,265285,15.29,7644984.71,3821989,265285,199999,0.126229123,0,2.3,7681801,-5.29,0.551912873
1219,福壽,2022,M1200,12192022,0,0,0,0,0,322014,4433806,10275495,307401,20.38,6562645.32,4433806,307401,257318,0.044879328,0.003326881,0.47,16999408,15.03,0.774408616
1219,福壽,2021,M1200,12192021,0,0,0,0,0,322014,4474177,9150195,295079,18.52,5963699.28,4474177,295079,353814,0.048361834,0.002435789,-3.18,14778782,19.92,0.761334549
1219,福壽,2020,M1200,12192020,0,0,0,0,0,322014,4443414,8550063,281614,20.58,6627048.12,4443414,281614,321649,0.052655413,0.002910542,4.54,12324165,0.53,0.741473531
1219,福壽,2019,M1200,12192019,0,0,0,0,0,322014,3959290,8937571,-1823,17.96,5783371.44,3959290,-1823,128805,0.05193391,0.003226379,3.4,12259254,4.69,0.78816648
1219,福壽,2018,M1200,12192018,0,0,0,0,0,322014,3816632,8515527,-94723,15.1,4862411.4,3816632,-94723,32201,0.050260017,0.003559356,-1.62,11709984,8.2,0.77214196
1219,福壽,2017,M1200,12192017,0,0,0,0,0,322014,3947659,8461787,41066,15.31,4930034.34,3947659,41066,96604,0.051892359,0.003358839,0.47,10822788,-1.3,0.834532168
1220,台榮,2022,M1200,12202022,0,0,0,0,0,177078,2434031,3202925,72368,14.65,2594192.7,2434031,72368,35415,0.033635086,0,-3.77,3537556,9.88,0.907894995
1220,台榮,2021,M1200,12202021,0,0,0,0,0,177078,2593610,3291690,193481,14.64,2592421.92,2593610,193481,177077,0.036109991,0,0.64,3219386,16.01,1.006646691
