代號,名稱,Year,Industry,Key,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,TA,NI,Price,MBV,EARNBV
1234,黑松,2020,M1200,12342020,0,0,0,0,0,401871,18068635,22211391,889186,30.72,0.683254552,0.049211576
1234,黑松,2019,M1200,12342019,0,0,0,0,0,401871,17882266,22642968,844560,27.05,0.60789894,0.047228914
1234,黑松,2018,M1200,12342018,0,0,0,0,0,401871,17628091,22967481,694511,25.64,0.584520039,0.03939797
1234,黑松,2017,M1200,12342017,0,0,0,0,0,401871,17562146,22855928,530858,23.64,0.540949292,0.030227399
1235,興泰,2022,M1200,12352022,0,0,0,0,0,133629,1697508,3605307,195624,72.53,5.709611601,0.115241872
1235,興泰,2021,M1200,12352021,0,0,0,0,0,104398,3614794,4677445,81793,39.49,1.140501235,0.022627292
1235,興泰,2020,M1200,12352020,0,0,0,0,0,104398,2997328,4167382,64211,21.66,0.754425502,0.021422747
1235,興泰,2019,M1200,12352019,0,0,0,0,0,98955,2583303,4206027,49143,15.56,0.596035308,0.01902332
1235,興泰,2018,M1200,12352018,0,0,0,0,0,87960,5083655,6830742,103299,15.4,0.26645868,0.020319829
1235,興泰,2017,M1200,12352017,0,0,0,0,0,60662,4158465,5735515,127328,14.49,0.21137424,0.03061899
1236,宏亞,2022,M1200,12362022,0,0,0,0,0,108343,2932606,4122836,-29486,25.62,0.946512303,-0.010054539
1236,宏亞,2021,M1200,12362021,0,0,0,0,0,108343,2128491,3456496,-27478,30.76,1.565724581,-0.012909615
1236,宏亞,2020,M1200,12362020,0,0,0,0,0,108343,1607981,2764972,-2260,16.44,1.107698984,-0.001405489
1236,宏亞,2019,M1200,12362019,0,0,0,0,0,108343,1684512,2736135,13227,12.69,0.816184551,0.007852126
1236,宏亞,2018,M1200,12362018,0,0,0,0,0,108343,1834005,2792241,13217,13.46,0.795143296,0.007206632
1236,宏亞,2017,M1200,12362017,0,0,0,0,0,108343,1758224,2933264,5409,16.74,1.031530579,0.0030764
1240,茂生農經,2022,M3300,12402022,0,0,0,0,0,38598,1317752,2214254,-13815,44.23,1.295531739,-0.010483763
1240,茂生農經,2021,M3300,12402021,0,0,0,0,0,36760,1380415,2132189,103540,39.2,1.04388318,0.075006429
1240,茂生農經,2020,M3300,12402020,0,0,0,0,0,35010,1261234,1894658,141820,44.07,1.223318353,0.11244543
1240,茂生農經,2019,M3300,12402019,0,0,0,0,0,33990,1025963,1707299,132303,43.22,1.431872105,0.128954943
1240,茂生農經,2018,M3300,12402018,0,0,0,0,0,33000,1167687,1615651,101362,33.07,0.934591205,0.086805796
6689,伊雲谷,2021,M2331,66892021,1,0.693147181,1,0,0,60000,1743235,4237674,212036,#N/A,#N/A,0.121633629
1256,鮮活果汁-KY,2022,M1200,12562022,0,0,0,0,1,33842,4100050,4673081,468455,302.68,2.498334547,0.114255924
1256,鮮活果汁-KY,2021,M1200,12562021,0,0,0,0,1,33842,4021185,4821556,717313,256.07,2.155066464,0.178383486
1256,鮮活果汁-KY,2020,M1200,12562020,0,0,0,0,1,33842,2670735,3557450,780385,402.2,5.096444387,0.29219859
1256,鮮活果汁-KY,2019,M1200,12562019,0,0,0,0,1,33842,2058369,3146655,539021,185.08,3.042932224,0.261868013
1256,鮮活果汁-KY,2018,M1200,12562018,0,0,0,0,1,30766,1779307,2607916,440919,150.96,2.610249586,0.24780378
1256,鮮活果汁-KY,2017,M1200,12562017,0,0,0,0,1,30766,1525251,2322095,287270,134.5,2.713013792,0.188342771
1259,安心,2022,M2700,12592022,0,0,0,0,0,32390,2005546,5324339,157481,74.5,1.203191051,0.078522756
1259,安心,2021,M2700,12592021,0,0,0,0,0,32390,2091290,5286602,77237,65.73,1.018029398,0.036932707
1259,安心,2020,M2700,12592020,0,0,0,0,0,32390,1939491,4663025,147988,59.93,1.000846459,0.076302494
1259,安心,2019,M2700,12592019,0,0,0,0,0,32390,1862870,4570443,139963,61.63,1.071570051,0.075132994
1259,安心,2018,M2700,12592018,0,0,0,0,0,32390,1788856,2950308,134623,58.93,1.067018642,0.075256477
1259,安心,2017,M2700,12592017,0,0,0,0,0,32390,1780933,2953839,149915,62.46,1.135966036,0.084177788
1264,德麥,2022,M1200,12642022,0,0,0,0,0,37064,3641232,4706617,734676,277.38,2.823443362,0.201765776
1264,德麥,2021,M1200,12642021,0,0,0,0,0,37064,3373079,4262500,722642,245.71,2.699905766,0.214238089
1264,德麥,2020,M1200,12642020,0,0,0,0,0,33696,3160779,4021773,636036,242.87,2.589155243,0.201227609
1264,德麥,2019,M1200,12642019,0,0,0,0,0,33696,2896521,3524478,572594,174.11,2.025467987,0.197683359
1264,德麥,2018,M1200,12642018,0,0,0,0,0,33696,2742986,3278973,536485,161.06,1.97852915,0.195584301
1264,德麥,2017,M1200,12642017,0,0,0,0,0,33696,2578393,3088701,515017,144.98,1.894686372,0.199743406
1268,漢來美食,2022,M2700,12682022,0,0,0,0,0,42724,1850455,6281228,131004,155.31,3.585855608,0.070795561
1268,漢來美食,2021,M2700,12682021,0,0,0,0,0,42724,1996555,4662620,83546,101.08,2.162996722,0.041845078
1268,漢來美食,2020,M2700,12682020,0,0,0,0,0,37724,1731321,4527174,283023,115.73,2.521657463,0.163472285
1268,漢來美食,2019,M2700,12682019,0,0,0,0,0,37653,1550122,4114909,288731,114.47,2.780515927,0.186263404
