Key,Year,Trade,Industry,Adopt,Adopt_Ind,RPA_Ctd,Big4,Fin,INST,SG,Cycle,CL,Zscore,INSTt,MS,LGTA,BM.x,LEV,OCF,MTB,Age,ESG,RD,ADV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12162022,2022,TSE,M1200,0,0,0,1,0,0.7093,0.097802779,18.49,0.341185367,2.03675887,0.6991,0.5980351,20.1279709,0.462407932,0.651441814,0.113841817,2.162592661,4.025351691,70.54,0.001750729,0.218909469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12172017,2017,TSE,M1200,0,0,0,0,0,0.2697,0.007704106,71.79,0.223312832,0.743189327,0.2841,0.006314592,16.32040675,1.682540009,0.499783129,0.006441443,0.594339507,3.951243719,59.78,0.011324518,0.229412105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12172018,2018,TSE,M1200,0,0,0,0,0,0.2841,0.040568335,66.43,0.268570114,0.648829132,0.2989,0.00623125,16.34800172,1.893000655,0.501624894,0.034198508,0.528261835,3.951243719,60.15,0.009438387,0.22040974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12172019,2019,TSE,M1200,0,0,0,0,0,0.2989,0.032768845,49.35,0.259464302,0.682075297,0.3063,0.006155601,16.37242666,1.818635358,0.500676722,0.017459929,0.549862838,3.951243719,59.18,0.009500837,0.20923035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12172020,2020,TSE,M1200,0,0,0,0,0,0.3063,0.031693237,38.19,0.26279807,0.881302298,0.2949,0.006299981,16.40634199,1.267746621,0.485904618,0.037238157,0.788801156,3.951243719,61.67,0.009077934,0.205846112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12172021,2021,TSE,M1200,0,0,0,0,0,0.2949,0.020461994,40.36,0.196531215,1.012649414,0.3197,0.005887026,16.44284039,1.52330926,0.465383405,0.008624987,0.656465516,3.951243719,62.93,0.011098139,0.194153958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12172022,2022,TSE,M1200,0,0,0,0,0,0.3197,0.018694441,54.33,0.207833058,1.052315873,0.3212,0.005470215,16.43692669,1.187638141,0.45348101,0.009347236,0.842007313,3.951243719,62.96,0.010113475,0.187408931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12182017,2017,TSE,M1200,0,0,0,1,0,0.3737,-0.055849663,66.58,0.245447047,2.829298122,0.3578,0.011698435,15.82801243,0.499934159,0.489176375,0.009763683,2.000263399,4.143134726,55.1,0,0.126229122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12182018,2018,TSE,M1200,0,0,0,1,0,0.3578,0.027825637,66.63,0.228980872,3.765795225,0.4109,0.011392722,15.99105764,0.747544869,0.272997894,0.047692279,1.337712345,4.143134726,56.53,0,0.118142368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12182019,2019,TSE,M1200,0,0,0,1,0,0.4109,0.012363347,62.13,0.184001967,4.008775361,0.468,0.011021884,16.03789886,0.632983825,0.284329325,0.039135271,1.5798192,4.143134726,57.14,0,0.111948078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
